Permit_Num,Permit_Type,Structure_Type,Work,Street_Num,Street_Name,Street_Type,Street_Direction,Postal,Geo_Id,Ward_Grid,Application_Date,Issued_Date,Completed_Date,Status,Description,Est_Const_Cost,Address,Coordinates,Ward_Index,Ward
00 330311 CMB,Non-Residential Building Permit,"Hair, Barber and Other Salon",Addition/Alteration to Existing Building,3360,YONGE,ST, ,M4N,7793316.0,N1603,2000-08-22,2002-06-13,2016-10-27,Closed,Build second storey addition at rear. See prev. BP00329052   (w22):  ,10000,3360 YONGE ST   M4N,POINT (-79.40435 43.732208),17.0,Eglinton-Lawrence
02 151529 BLD,Building Additions/Alterations,Museum,Interior Alterations,100,GARRISON,RD, ,M5V,807841.0,S1909,2002-06-27,2002-06-27,2016-07-25,Closed,Interior alterations,60000,100 GARRISON RD   M5V,POINT (-79.403488 43.639057),24.0,Spadina-Fort York
04 111348 BLD,Building Additions/Alterations,Performing Arts Centre,Interior Alterations,6,NOBLE,ST, ,M6K,8133590.0,S1405,2004-02-24,2004-05-27,2016-01-19,Closed,Interior Alterations to Industrial space to create a Performing Arts Centre.  Pia Bouman School for Ballet.,650000,6 NOBLE ST   M6K,POINT (-79.430284 43.642553),13.0,Parkdale-High Park
04 198435 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,5485-5487,DUNDAS,ST,W,M9B,,W0504,2004-12-07,2005-02-02,2016-01-29,Closed,Interior Alterations to convert a vacant unit to a Tai Chai Exercise center,10000,5485-5487 DUNDAS ST W M9B,POINT (-79.543721 43.632198),15.0,Etobicoke-Lakeshore
05 115473 BLD,New Building,Club,New Building,2,MUGGS ISLAND,PK, ,###,14635094.0,S2814,2005-03-15,2005-06-10,2016-06-08,Closed,New clubhouse for yacht club,1400000,2 MUGGS ISLAND PK   ###,POINT (-79.386525 43.623425),24.0,Spadina-Fort York
06 195998 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,3401,DUFFERIN,ST, ,M6A,509769.0,N1502,2006-12-05,2006-12-21,2016-12-30,Closed,Premier Fitness - washroom renovation,35000,3401 DUFFERIN ST   M6A,POINT (-79.45785 43.727595),17.0,Eglinton-Lawrence
06 197901 BLD,Building Additions/Alterations,Performing Arts Centre,Interior Alterations,6,NOBLE,ST, ,M6K,8133590.0,S1405,2006-12-14,2007-03-12,2016-01-19,Closed,"Interior alterations to dance studio.  See BLD 04 111348 and all revisions.
",1000,6 NOBLE ST   M6K,POINT (-79.430284 43.642553),13.0,Parkdale-High Park
07 160282 BLD,Building Additions/Alterations,Recreational,Interior Alterations,50,WABASH,AVE, ,M6R,11226744.0,S1403,2007-04-18,2007-05-02,2016-01-22,Closed,Interior alterations to existing 2 sty industrial office building in Sorauren Park to convert to a new Fieldhouse (no overnight sleeping).,300000,50 WABASH AVE   M6R,POINT (-79.443366 43.647913),13.0,Parkdale-High Park
09 124927 BLD,Building Additions/Alterations,Club,Interior Alterations,100,INDIAN,RD, ,M6R,8006978.0,S1404,2009-04-08,2009-04-28,2016-08-03,Closed,Interior alterations to existing basemen washroom area.  NOTE:  See active PLB permit 08 202960.,40000,100 INDIAN RD   M6R,POINT (-79.45404 43.642781),13.0,Parkdale-High Park
10 271932 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,180,QUEENS PLATE,DR, ,M9W,9655496.0,W0202,2010-10-05,2011-01-19,2016-12-20,Closed,"Interior alteration for a nail salon, ""Rexdale Nail Salon"".",50000,180 QUEENS PLATE DR   M9W,POINT (-79.59414 43.719119),14.0,Etobicoke North
11 203933 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,1831,FINCH,AVE,W,M3N,13967947.0,N0805,2011-05-27,2011-06-08,2016-06-22,Closed,Nuyu International Unit 19,25000,1831 FINCH AVE W M3N,POINT (-79.51405 43.757154),0.0,Humber River-Black Creek
11 326056 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,225,THE EAST MALL, , ,M9B,8087372.0,W0504,2011-12-14,2012-01-31,2016-01-18,Closed,Interior alterations to demolish and add new partition walls to vacant space and create *First Choice Hair Salon* Unit 4,60000,225 THE EAST MALL     M9B,POINT (-79.552133 43.632299),15.0,Etobicoke-Lakeshore
12 155365 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,204,BLOOR,ST,W,M5S,8408556.0,S2003,2012-04-17,2012-05-01,2016-06-28,Closed,Proposal for interior alterations to portion of ground and second floor commercial unit at front for personal grooming establishment spa/cosmetic dental in existing mixed-use building (235.56m2).  See ZC file 12-124735.,300000,204 BLOOR ST W M5S,POINT (-79.395686 43.668641),3.0,University-Rosedale
14 136475 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,25,ST CLAIR,AVE,W,M4V,871401.0,S2211,2014-04-01,2014-04-09,2016-03-21,Closed,"Proposal for interior alterations to the ground floor to construct offices, ""The Badminton and Racquet Club of Toronto""",50000,25 ST CLAIR AVE W M4V,POINT (-79.394661 43.687125),12.0,Toronto-St. Paul's
14 150315 BLD,New Building,Retail Mall/Plaza,New Building,2000,EGLINTON,AVE,E,M1L,330626.0,E3707,2014-05-01,2014-10-06,2016-03-07,Closed,construct new building H shell only units H1-3,600000,2000 EGLINTON AVE E M1L,POINT (-79.283362 43.729606),9.0,Scarborough Centre
14 153792 BLD,Building Additions/Alterations,Art Gallery,Interior Alterations,34,RIVERDALE,DR, ,M9V,9779377.0,W0106,2014-05-08,2014-05-30,2016-07-25,Closed,Proposed structural strengthening and landscape repairs     ,200000,34 RIVERDALE DR   M9V,POINT (-79.55987 43.731256),14.0,Etobicoke North
14 172027 BLD,Building Additions/Alterations,Performing Arts Centre,Interior Alterations,30,BRIDGMAN,AVE, ,M5R,7994659.0,S2109,2014-06-11,2014-06-25,2016-03-11,Closed,"To complete interior alterations to the lobby of the existing ""Tarragon Theatre"".",50000,30 BRIDGMAN AVE   M5R,POINT (-79.412863 43.674913),12.0,Toronto-St. Paul's
14 208713 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,100,BROADVIEW,AVE, ,M4M,776289.0,S3012,2014-08-19,2014-09-16,2016-01-25,Closed,Interior alterations to a vacant unit for a tenant fit up for a fitness centre/sled training (commercial school).,175000,100 BROADVIEW AVE   M4M,POINT (-79.350188 43.658132),23.0,Toronto-Danforth
14 258806 BLD,New Building,Retail Mall/Plaza,New Building,4435-4479,KINGSTON,RD, ,M1E,8100567.0,E4303,2014-12-01,2015-09-24,2016-06-30,Closed,construct one storey retail building C shell only units 1 & 2,700000,4435-4479 KINGSTON RD   M1E,POINT (-79.188298 43.768336),8.0,Scarborough-Guildwood
15 157036 BLD,Building Additions/Alterations,Indoor Swimming Pool,Interior Alterations,2,CHAMPAGNE,DR, ,M3J,7576550.0,N0807,2015-05-14,2015-11-13,2016-09-02,Closed,construct an indoor swimming pool for a swimming school (Jacob Swimming Pool) in industrial building.,350000,2 CHAMPAGNE DR   M3J,POINT (-79.47234 43.766427),1.0,York Centre
15 157043 BLD,Building Additions/Alterations,Television Studio(no audience),Interior Alterations,9,CHANNEL NINE,CRT, ,M1S,3633177.0,E4108,2015-05-14,2015-07-13,2016-05-24,Closed,Interior Alterations to server room in 'west wing' plus hvac upgrade and related structural and plumbing work.,500000,9 CHANNEL NINE CRT   M1S,POINT (-79.257761 43.78242),7.0,Scarborough North
15 163510 BLD,Building Additions/Alterations,Museum,Interior Alterations,30,YONGE,ST, ,M5E,8676865.0,S2809,2015-05-27,2015-06-12,2016-01-25,Closed,"Proposal for interior alterations to the concourse level in exsiting museum - ""Hockey Hall of Fame""",750000,30 YONGE ST   M5E,POINT (-79.377387 43.647122),21.0,Toronto Centre
15 179717 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,77,ADELAIDE,ST,W,###,10222905.0,S2809,2015-06-24,2015-07-28,2016-09-30,Closed,"Permit for interior alterations to part of Fitness Club ""The Adelaide Club"" being UNIT 1 on level B-2 & B-3.  ",650000,77 ADELAIDE ST W ###,POINT (-79.382178 43.649398),24.0,Spadina-Fort York
15 201899 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,350,QUEENS QUAY, ,W,M5V,10223461.0,S2017,2015-08-05,2015-08-31,2016-04-07,Closed,"Proposal for interior alterations to combine existing fitness space and vacant retail space. - ""Cross fit"". Convenience address is 390 Queens Quay West.",1000000,350 QUEENS QUAY   W M5V,POINT (-79.389153 43.638688),24.0,Spadina-Fort York
15 211451 BLD,Building Additions/Alterations,Recreational,Interior Alterations,31,TAPSCOTT,RD, ,M1B,6947360.0,E4205,2015-08-24,2015-09-22,2016-04-25,Closed,"Proposal for interior alterations to fit out a new fitness facility - ""Planet Fitness""    ",500000,31 TAPSCOTT RD   M1B,POINT (-79.22201 43.806593),7.0,Scarborough North
15 232867 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,5150,YONGE,ST, ,M2N,7131370.0,N2302,2015-10-05,2015-11-30,2016-06-27,Closed,Alterations - Fit 4 Less - Concourse Level Unit C44,300000,5150 YONGE ST   M2N,POINT (-79.413051 43.768887),2.0,Willowdale
15 235047 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,635,DANFORTH,AVE, ,M4K,789755.0,S3002,2015-10-08,2015-10-22,2016-12-19,Closed,"Proposal for interior alterations to existing fitness centre - ""Goodlife Fitness""",50000,635 DANFORTH AVE   M4K,POINT (-79.345341 43.678649),23.0,Toronto-Danforth
15 236903 BLD,Building Additions/Alterations,Art Gallery,Interior Alterations,317,DUNDAS,ST,W,M5T,796549.0,S2011,2015-10-13,2015-10-27,2016-01-22,Closed,interior alterations to data server room UNIT 006,10000,317 DUNDAS ST W M5T,POINT (-79.392573 43.65352),24.0,Spadina-Fort York
15 252257 BLD,Building Additions/Alterations,Recreational,Interior Alterations,24,PROGRESS,AVE, ,M1P,9638341.0,E4006,2015-11-16,2016-01-12,2016-04-15,Closed,"UPGRADE THE SUBJECT UNIT TO CONFORM THE OBC 2012 STANDARD:
1. UPGRADE EXISTING UNIVERSAL WASHROOM
2. UPGRADE EXISTING ACCESS WITH BARRIER-FREE STANDARD TO STUDIO AREA",10000,24 PROGRESS AVE   M1P,POINT (-79.280164 43.770426),9.0,Scarborough Centre
15 257772 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,4750,YONGE,ST, ,M2N,9066025.0,N2305,2015-11-27,2016-01-07,2016-07-04,Closed,Permit for interior alterations to suit new hair salon tenant.,40000,4750 YONGE ST   M2N,POINT (-79.411027 43.760416),2.0,Willowdale
15 258422 BLD,New Building,Recreational,New Building,2388,JANE,ST, ,M3M,531021.0,W0708,2015-11-30,2016-05-13,2016-08-30,Closed,Proposal to construct a new pole building for equipment storage and maintenance on Oakdale Golf & Country Club site,83000,2388 JANE ST   M3M,POINT (-79.515673 43.731137),0.0,Humber River-Black Creek
