Neighbourhoods,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year
Agincourt/Malvern,,"1,107","1,251","1,361","1,239",2016
Ajax/Pickering,,946,"1,212","1,302","1,270",2016
Alderwood,,"1,036","1,264",,"1,245",2016
Aurora,,"1,076","1,270",,"1,286",2016
Banbury-Don Mills/York Mills,881,"1,097","1,253","1,565","1,218",2016
Bathurst Manor,797,"1,101","1,259","1,435","1,237",2016
Bay Street Corridor,"1,450","1,728","2,885",,"2,027",2016
Bayview Village,,"1,325","1,571",,"1,499",2016
Bayview Woods-Steeles/Hillcrest Village,,"1,401","1,662","1,709","1,614",2016
Bedford Park-Nortown,889,"1,086","1,417","1,988","1,271",2016
Beechborough-Greenbrook,776,897,"1,109",,"1,001",2016
Bendale,866,"1,028","1,119","1,261","1,136",2016
Birchcliffe-Cliffside,877,"1,121","1,380",,"1,237",2016
Black Creek,918,981,"1,142","1,367","1,145",2016
Bradford/West Gwillimbury/New Tecumseth,827,920,"1,089","1,338","1,023",2016
Brampton (East),835,"1,170","1,314","1,405","1,280",2016
Brampton (West),771,"1,024","1,184","1,404","1,143",2016
Briar Hill-Belgravia,742,"1,020","1,248","1,428","1,121",2016
Broadview North,889,"1,099","1,326",,"1,137",2016
Bronte,,"1,253","1,485","1,784","1,408",2016
Brookhaven-Amesbury,748,945,"1,122","1,402","1,092",2016
Cabbagetown-South St. James Town,953,"1,252","1,778",,"1,298",2016
Caledon,,,,,,2016
Caledonia-Fairbank,769,927,"1,108",,"1,001",2016
Casa Loma,"1,029","1,382","2,106","3,240","1,763",2016
Churchill Meadows/Erin Mills,855,991,"1,203","1,600","1,301",2016
Church-Yonge Corridor,"1,073","1,362","1,780",,"1,349",2016
Clairlea-Birchmount,889,948,"1,153",,"1,020",2016
Clanton Park,891,"1,112","1,321",,"1,205",2016
Clarkson/Lorne Park,894,"1,089","1,243","1,366","1,193",2016
Cliffcrest,837,"1,008","1,131","1,363","1,101",2016
Cooksville,898,"1,051","1,229","1,241","1,152",2016
Crescent Town,796,979,"1,195","1,480","1,069",2016
Danforth Village-East York,761,990,"1,147",,"1,037",2016
Don Valley Village/Pleasant View,848,"1,123","1,299","1,446","1,288",2016
Dorset Park,770,910,"1,044","1,326","1,005",2016
Dovercourt/Davenport/Junction,,,"1,402",,,2016
Downsview,760,944,"1,109","1,269","1,056",2016
Dufferin Grove/Little Portugal,866,"1,322","1,651",,"1,296",2016
East End-Danforth,892,"1,053","1,194",,"1,100",2016
East Gwillimbury/Newmarket,738,"1,069","1,148",,"1,094",2016
Edenbridge-Humber Valley,,"1,044","1,235","1,640","1,217",2016
Eglinton East,892,939,"1,108","1,265","1,087",2016
Elms-Old Rexdale,,,"1,168",,"1,162",2016
Englemount-Lawrence,824,"1,001","1,193","1,579","1,161",2016
Eringate-Centennial-West Deane,,,"1,195",,"1,189",2016
Etobicoke West Mall,"1,036","1,076","1,302","1,500","1,286",2016
Flemingdon Park,,"1,014","1,204","1,431","1,155",2016
Forest Hill North,913,"1,146","1,461","2,049","1,327",2016
Forest Hill South,930,"1,185","1,442",,"1,253",2016
Georgina,,805,959,,952,2016
Guildwood,,,,,,2016
Henry Farm,,"1,248","1,422","1,615","1,396",2016
High Park North/Junction,"1,043","1,367","1,741","2,253","1,465",2016
High Park-Swansea,700,"1,130","1,333",,"1,172",2016
Humber Heights-Westmount,,"1,126","1,313","1,482","1,301",2016
Humewood-Cedarvale,852,"1,246","1,641",,"1,386",2016
Ionview,843,988,"1,131","1,386","1,069",2016
Islington/City Centre North,"1,139","1,248","1,407","1,522","1,337",2016
Islington/City Centre South,991,,"1,295",,"1,208",2016
Keelesdale-Eglinton West,,892,982,,914,2016
Kennedy Park,,932,"1,095","1,156","1,031",2016
Kensington-Chinatown,,,,,,2016
Kingsview Village-The Westway,"1,142","1,095","1,302","1,489","1,278",2016
Kingsway South,,"1,139",,,,2016
Lambton Baby Point,739,978,,,,2016
