Neighbourhoods,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,
Agincourt/Malvern,**,,"1,234",a ,"1,397",a ,"1,414",c ,"1,352",a 
Ajax/Pickering,**,,982,a ,"1,237",a ,"1,489",a ,"1,318",a 
Alderwood,**,,"1,193",b ,"1,357",c ,**,,"1,320",c 
Aurora,**,,"1,171",a ,"1,371",b ,**,,"1,338",b 
Banbury-Don Mills/York Mills,836,d ,"1,266",b ,"1,432",b ,"1,763",b ,"1,382",b 
Bathurst Manor,888,c ,"1,329",a ,"1,427",a ,"1,599",b ,"1,427",a 
Bay Street Corridor,"1,751",a ,"2,197",a ,"3,047",b ,"3,571",a ,"2,382",a 
Bayview Village,**,,"1,504",b ,"1,793",b ,**,,"1,831",b 
Bayview Woods-Steeles/Hillcrest Village,**,,**,,**,,**,,**,
Bedford Park-Nortown,"1,000",a ,"1,188",a ,"1,511",a ,"2,039",c ,"1,354",a 
Beechborough-Greenbrook,882,a ,"1,025",b ,"1,243",b ,**,,"1,124",b 
Bendale,"1,076",b ,"1,341",c ,"1,419",b ,"1,576",c ,"1,445",b 
Birchcliffe-Cliffside,954,b ,"1,307",a ,"1,517",b ,**,,"1,398",a 
Black Creek,"1,089",b ,"1,156",a ,"1,355",a ,"1,596",a ,"1,348",a 
Bradford/West Gwillimbury/New Tecumseth,"1,087",c ,"1,111",a ,"1,268",a ,"1,533",b ,"1,235",a 
Brampton (East),**,,"1,437",b ,"1,540",a ,"1,585",a ,"1,518",a 
Brampton (West),902,b ,"1,186",a ,"1,367",a ,"1,581",b ,"1,315",a 
Briar Hill-Belgravia,899,b ,"1,310",b ,"1,498",b ,"1,878",b ,"1,406",b 
Broadview North,"1,049",a ,"1,254",a ,"1,473",a ,**,,"1,295",a 
Bronte,**,,"1,495",a ,"1,729",a ,**,,"1,644",a 
Brookhaven-Amesbury,889,d ,"1,178",a ,"1,448",b ,"2,060",c ,"1,406",b 
Cabbagetown-South St. James Town,"1,045",c ,"1,486",a ,"1,998",a ,**,,"1,530",b 
Caledon,**,,**,,**,,**,,**,
Caledonia-Fairbank,895,c ,"1,096",b ,"1,375",b ,**,,"1,217",b 
Casa Loma,"1,259",b ,"1,588",b ,"2,215",c ,"3,598",c ,"1,966",b 
Churchill Meadows/Erin Mills,**,,"1,436",b ,"1,538",b ,"1,843",a ,"1,604",a 
Church-Yonge Corridor,"1,313",a ,"1,692",a ,"2,118",b ,**,,"1,672",a 
Clairlea-Birchmount,"1,017",a ,"1,125",a ,"1,324",b ,**,,"1,174",a 
Clanton Park,980,b ,"1,173",a ,"1,370",a ,**,,"1,246",a 
Clarkson/Lorne Park,"1,035",b ,"1,279",a ,"1,404",a ,"1,483",a ,"1,366",a 
Cliffcrest,**,,"1,179",b ,"1,282",a ,"1,514",b ,"1,262",a 
Cooksville,987,a ,"1,237",a ,"1,421",a ,"1,484",b ,"1,335",a 
Crescent Town,951,a ,"1,149",a ,"1,371",a ,"1,620",a ,"1,236",a 
Danforth Village-East York,792,c ,"1,136",b ,"1,277",b ,**,,"1,176",b 
Don Valley Village/Pleasant View,992,a ,"1,417",b ,"1,545",a ,"1,644",a ,"1,532",a 
Dorset Park,**,,"1,266",d ,"1,506",c ,**,,"1,430",c 
Dovercourt/Davenport/Junction,973,d ,"1,161",d ,"1,466",b ,**,,"1,325",b 
Downsview,944,b ,"1,143",a ,"1,346",a ,"1,511",a ,"1,281",a 
Dufferin Grove/Little Portugal,"1,030",c ,"1,423",d ,**,,**,,"1,353",d 
East End-Danforth,"1,008",b ,"1,325",a ,"1,542",a ,**,,"1,371",a 
East Gwillimbury/Newmarket,798,a ,"1,343",a ,"1,403",a ,**,,"1,355",a 
Edenbridge-Humber Valley,**,,"1,323",c ,"1,489",c ,**,,"1,445",c 
Eglinton East,"1,283",a ,"1,216",a ,"1,370",b ,"1,480",b ,"1,349",b 
Elms-Old Rexdale,**,,**,,"1,466",a ,"1,760",a ,"1,548",a 
Englemount-Lawrence,909,b ,"1,130",b ,"1,320",b ,"1,611",b ,"1,269",b 
Eringate-Centennial-West Deane,**,,**,,"1,260",b ,**,,"1,283",b 
Etobicoke West Mall,**,,"1,415",b ,"1,664",a ,"1,889",b ,"1,653",b 
Flemingdon Park,**,,"1,189",a ,"1,326",a ,"1,589",a ,"1,297",a 
Forest Hill North,"1,119",a ,"1,354",a ,"1,714",a ,"2,058",b ,"1,546",a 
Forest Hill South,"1,280",c ,"1,508",b ,"1,888",b ,**,,"1,619",b 
