Neighbourhoods,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,
Agincourt/Malvern,**,,"1,237",b ,"1,395",b ,"1,589",a ,"1,408",b 
Ajax/Pickering,**,,"1,198",b ,"1,362",a ,"1,506",a ,"1,412",a 
Alderwood,**,,"1,238",b ,"1,451",c ,**,,"1,409",c 
Aurora,**,,"1,296",a ,"1,543",a ,**,,"1,492",b 
Banbury-Don Mills/York Mills,933,c ,"1,465",a ,"1,701",b ,"2,018",a ,"1,629",b 
Bathurst Manor,**,,"1,379",a ,"1,496",a ,"1,645",b ,"1,483",a 
Bay Street Corridor,"1,711",a ,"2,196",a ,"3,288",c ,**,,"2,483",b 
Bayview Village,**,,"1,579",a ,"1,821",a ,**,,"1,830",a 
Bayview Woods-Steeles/Hillcrest Village,**,,**,,**,,**,,**,
Bedford Park-Nortown,"1,037",c ,"1,246",a ,"1,655",b ,"2,137",c ,"1,429",b 
Beechborough-Greenbrook,"1,146",d ,"1,072",b ,"1,331",c ,**,,"1,206",b 
Bendale,"1,195",c ,"1,243",b ,"1,356",b ,"1,482",b ,"1,373",b 
Birchcliffe-Cliffside,976,b ,"1,393",b ,"1,558",b ,**,,"1,466",a 
Black Creek,"1,091",c ,"1,281",a ,"1,433",a ,"1,647",a ,"1,421",a 
Bradford/West Gwillimbury/New Tecumseth,962,b ,"1,003",a ,"1,197",a ,"1,493",b ,"1,128",a 
Brampton (East),**,,"1,459",a ,"1,591",a ,"1,656",a ,"1,562",a 
Brampton (West),966,b ,"1,262",a ,"1,447",a ,"1,642",b ,"1,389",a 
Briar Hill-Belgravia,"1,030",c ,"1,428",b ,"1,509",b ,**,,"1,480",b 
Broadview North,"1,098",b ,"1,398",a ,"1,558",a ,**,,"1,422",a 
Bronte,**,,"1,568",a ,"1,802",a ,**,,"1,718",a 
Brookhaven-Amesbury,945,c ,"1,332",c ,"1,491",c ,**,,"1,440",c 
Cabbagetown-South St. James Town,"1,040",c ,"1,476",a ,"2,054",b ,**,,"1,541",b 
Caledon,**,,**,,**,,**,,**,
Caledonia-Fairbank,906,d ,"1,130",b ,"1,325",b ,**,,"1,206",b 
Casa Loma,"1,330",b ,"1,609",a ,"2,301",c ,"3,837",c ,"2,005",c 
Churchill Meadows/Erin Mills,"1,385",b ,"1,558",b ,"1,708",b ,"1,969",a ,"1,749",a 
Church-Yonge Corridor,"1,409",a ,"1,692",a ,"2,129",b ,**,,"1,691",a 
Clairlea-Birchmount,**,,"1,167",a ,"1,339",a ,**,,"1,219",a 
Clanton Park,"1,088",b ,"1,383",b ,"1,554",b ,**,,"1,454",b 
Clarkson/Lorne Park,"1,014",a ,"1,298",a ,"1,421",a ,"1,556",a ,"1,390",a 
Cliffcrest,**,,"1,314",b ,"1,482",b ,"1,652",b ,"1,434",b 
Cooksville,984,b ,"1,374",a ,"1,581",a ,"1,722",a ,"1,495",a 
Crescent Town,"1,010",a ,"1,232",a ,"1,466",a ,"1,717",a ,"1,326",a 
Danforth Village-East York,955,c ,"1,257",b ,"1,395",b ,**,,"1,296",b 
Don Valley Village/Pleasant View,"1,075",a ,"1,442",a ,"1,579",a ,"1,720",a ,"1,567",a 
Dorset Park,**,,"1,476",a ,"1,683",b ,"2,055",b ,"1,628",a 
Dovercourt/Davenport/Junction,**,,"1,106",d ,"1,523",b ,**,,"1,354",b 
Downsview,930,b ,"1,192",a ,"1,353",a ,"1,543",a ,"1,303",a 
Dufferin Grove/Little Portugal,**,,"1,326",c ,"1,738",c ,**,,"1,380",b 
East End-Danforth,"1,135",c ,"1,378",a ,"1,527",b ,**,,"1,407",a 
East Gwillimbury/Newmarket,757,b ,"1,378",a ,"1,482",a ,**,,"1,391",a 
Edenbridge-Humber Valley,**,,"1,519",b ,"1,833",b ,"2,483",a ,"1,842",b 
Eglinton East,"1,291",a ,"1,197",a ,"1,383",b ,"1,723",b ,"1,397",b 
Elms-Old Rexdale,**,,"1,460",c ,"1,839",b ,"2,223",c ,"1,871",b 
Englemount-Lawrence,"1,013",a ,"1,242",a ,"1,485",a ,"1,809",b ,"1,407",a 
Eringate-Centennial-West Deane,**,,**,,"1,534",c ,**,,"1,513",c 
Etobicoke West Mall,**,,"1,431",a ,"1,681",a ,"1,928",a ,"1,669",a 
Flemingdon Park,**,,"1,361",b ,"1,525",b ,"1,640",a ,"1,474",b 
Forest Hill North,"1,199",a ,"1,468",a ,"1,714",a ,"2,169",b ,"1,613",a 
Forest Hill South,"1,150",b ,"1,463",a ,"1,880",b ,**,,"1,598",b 
Georgina,**,,834,b ,"1,095",b ,**,,"1,211",b 
Guildwood,**,,**,,**,,"1,948",c ,"1,511",c 
Henry Farm,**,,"1,491",a ,"1,849",b ,"1,939",a ,"1,733",a 
High Park North/Junction,"1,191",a ,"1,531",a ,"1,996",a ,"2,740",b ,"1,613",a 
High Park-Swansea,**,,"1,315",b ,**,,**,,"1,212",d 
Humber Heights-Westmount,**,,"1,513",a ,"1,701",b ,"1,793",b ,"1,657",b 
Humewood-Cedarvale,"1,097",b ,"1,530",b ,"2,319",c ,**,,"1,822",c 
Ionview,"1,044",b ,"1,312",a ,"1,481",a ,"1,582",a ,"1,398",a 
Islington/City Centre North,"1,424",a ,"1,525",a ,"1,732",a ,"1,907",a ,"1,658",a 
Islington/City Centre South,"1,179",b ,**,,"1,530",a ,**,,"1,465",a 
Keelesdale-Eglinton West,**,,**,,"1,202",c ,**,,**,
Kennedy Park,809,a ,"1,256",a ,"1,514",b ,"1,521",c ,"1,383",b 
Kensington-Chinatown,**,,"1,513",b ,**,,**,,"1,527",c 
Kingsview Village-The Westway,**,,"1,298",a ,"1,494",a ,"1,746",a ,"1,482",a 
Kingsway South,**,,**,,**,,**,,**,
Lambton Baby Point,835,b ,**,,**,,**,,**,
L'Amoreaux/Steeles/Milliken,**,,"1,251",a ,"1,407",a ,"1,598",a ,"1,365",a 
Lansing-Westgate,"1,130",b ,"1,491",a ,"1,679",a ,"1,875",a ,"1,613",a 
Lawrence Park North,"1,293",a ,"1,468",a ,"1,830",c ,**,,"1,562",a 
Lawrence Park South,"1,185",a ,"1,456",b ,"2,092",c ,**,,"1,587",c 
Leaside-Bennington,"1,045",b ,"1,359",a ,"1,926",b ,**,,"1,520",b 
Little Italy/Trinity-Bellwoods,808,d ,**,,**,,**,,"1,386",d 
Long Branch,"1,068",b ,"1,143",a ,"1,212",b ,**,,"1,171",b 
Malton,**,,"1,245",a ,"1,469",a ,"1,463",a ,"1,457",a 
Maple Leaf,**,,"1,279",c ,"1,400",d ,**,,"1,376",d 
Markham,**,,"1,439",a ,"1,600",a ,"1,668",a ,"1,541",a 
Meadowvale,**,,"1,540",a ,"1,700",a ,"1,745",a ,"1,655",a 
Milton/Halton Hills,835,b ,"1,172",b ,"1,343",a ,"1,625",a ,"1,287",a 
Mimico,"1,104",a ,"1,344",a ,"1,570",b ,**,,"1,376",a 
Mississauga Centre/Streetsville,"1,055",a ,"1,399",a ,"1,568",a ,"1,816",a ,"1,544",a 
Moore Park,"1,416",a ,"1,724",a ,"2,472",b ,"3,233",c ,"1,911",a 
Morningside,"1,282",a ,"1,318",a ,"1,409",a ,"1,596",a ,"1,400",a 
Moss Park/Regent Park,"1,112",b ,"1,424",a ,"1,657",b ,**,,"1,430",b 
Mount Dennis,"1,005",c ,"1,344",b ,"1,412",c ,**,,"1,384",b 
Mount Olive-Silverstone-Jamestown/Thistletown,**,,"1,463",b ,"1,563",b ,"1,725",b ,"1,597",b 
Mount Pleasant East,"1,225",b ,"1,498",a ,"2,015",b ,"2,296",d ,"1,621",b 
Mount Pleasant West,"1,346",a ,"1,626",a ,"2,080",a ,"2,505",b ,"1,695",a 
New Toronto,938,c ,"1,212",b ,"1,398",b ,**,,"1,274",b 
North St. James Town,"1,281",b ,"1,515",d ,**,,**,,**,
Oakridge,"1,180",b ,"1,314",b ,"1,533",b ,**,,"1,365",b 
Oakville (excl. Bronte),"1,178",a ,"1,441",a ,"1,732",a ,"2,063",a ,"1,689",a 
Oakwood-Vaughan,"1,072",c ,"1,466",c ,"1,747",d ,**,,"1,464",c 
O'Connor-Parkview,"1,007",d ,"1,194",a ,"1,383",a ,"1,629",b ,"1,323",a 
Old East York,"1,114",c ,"1,327",c ,"1,502",b ,**,,"1,390",c 
Orangeville/Mono,**,,"1,117",b ,"1,468",a ,**,,"1,274",b 
Parkwoods-Donalda,"1,305",d ,"1,434",a ,"1,627",a ,"1,865",a ,"1,630",a 
Playter Estates-Danforth,"1,159",b ,"1,380",a ,"1,676",a ,**,,"1,414",a 
Port Credit,970,c ,"1,310",b ,"1,467",a ,**,,"1,393",b 
Princess-Rosethorn,**,,**,,**,,**,,**,
Rexdale-Kipling,"1,071",b ,"1,021",a ,"1,130",b ,"1,366",c ,"1,181",b 
