Employment,Ward_ID,Population,Year
All occupations,Toronto,1437540,2016
Management occupations,Toronto,163965,2016
"Business, finance and administration occupations",Toronto,258875,2016
Natural and applied sciences and related occupations,Toronto,117635,2016
Health occupations,Toronto,84360,2016
"Occupations in education, law and social, community and government services",Toronto,186800,2016
"Occupations in art, culture, recreation and sport",Toronto,80195,2016
Sales and service occupations,Toronto,345140,2016
"Trades, transport and equipment operators and related occupations",Toronto,131115,2016
"Natural resources, agriculture and related production occupations",Toronto,7560,2016
Occupations in manufacturing and utilities,Toronto,61900,2016
All occupations,Ward 1,54885,2016
Management occupations,Ward 1,3135,2016
"Business, finance and administration occupations",Ward 1,8330,2016
Natural and applied sciences and related occupations,Ward 1,3085,2016
Health occupations,Ward 1,3200,2016
"Occupations in education, law and social, community and government services",Ward 1,4550,2016
"Occupations in art, culture, recreation and sport",Ward 1,965,2016
Sales and service occupations,Ward 1,15510,2016
"Trades, transport and equipment operators and related occupations",Ward 1,9700,2016
"Natural resources, agriculture and related production occupations",Ward 1,340,2016
Occupations in manufacturing and utilities,Ward 1,6070,2016
All occupations,Ward 2,60435,2016
Management occupations,Ward 2,7870,2016
"Business, finance and administration occupations",Ward 2,11085,2016
Natural and applied sciences and related occupations,Ward 2,5055,2016
Health occupations,Ward 2,3450,2016
"Occupations in education, law and social, community and government services",Ward 2,7540,2016
"Occupations in art, culture, recreation and sport",Ward 2,2355,2016
Sales and service occupations,Ward 2,13735,2016
"Trades, transport and equipment operators and related occupations",Ward 2,7075,2016
"Natural resources, agriculture and related production occupations",Ward 2,505,2016
Occupations in manufacturing and utilities,Ward 2,1755,2016
All occupations,Ward 3,74425,2016
Management occupations,Ward 3,11050,2016
"Business, finance and administration occupations",Ward 3,13795,2016
Natural and applied sciences and related occupations,Ward 3,6220,2016
Health occupations,Ward 3,3915,2016
"Occupations in education, law and social, community and government services",Ward 3,8940,2016
"Occupations in art, culture, recreation and sport",Ward 3,3850,2016
Sales and service occupations,Ward 3,16615,2016
"Trades, transport and equipment operators and related occupations",Ward 3,7560,2016
"Natural resources, agriculture and related production occupations",Ward 3,525,2016
Occupations in manufacturing and utilities,Ward 3,1955,2016
All occupations,Ward 4,63570,2016
Management occupations,Ward 4,8970,2016
"Business, finance and administration occupations",Ward 4,10130,2016
Natural and applied sciences and related occupations,Ward 4,5340,2016
Health occupations,Ward 4,3370,2016
"Occupations in education, law and social, community and government services",Ward 4,10040,2016
"Occupations in art, culture, recreation and sport",Ward 4,7150,2016
Sales and service occupations,Ward 4,13470,2016
"Trades, transport and equipment operators and related occupations",Ward 4,3645,2016
"Natural resources, agriculture and related production occupations",Ward 4,365,2016
Occupations in manufacturing and utilities,Ward 4,1095,2016
All occupations,Ward 5,56515,2016
Management occupations,Ward 5,3780,2016
"Business, finance and administration occupations",Ward 5,8405,2016
Natural and applied sciences and related occupations,Ward 5,2280,2016
Health occupations,Ward 5,2945,2016
"Occupations in education, law and social, community and government services",Ward 5,5615,2016
"Occupations in art, culture, recreation and sport",Ward 5,1500,2016
Sales and service occupations,Ward 5,16620,2016
"Trades, transport and equipment operators and related occupations",Ward 5,10630,2016
"Natural resources, agriculture and related production occupations",Ward 5,510,2016
Occupations in manufacturing and utilities,Ward 5,4225,2016
All occupations,Ward 6,54295,2016
Management occupations,Ward 6,4120,2016
"Business, finance and administration occupations",Ward 6,8755,2016
Natural and applied sciences and related occupations,Ward 6,3720,2016
Health occupations,Ward 6,3795,2016
"Occupations in education, law and social, community and government services",Ward 6,7540,2016
"Occupations in art, culture, recreation and sport",Ward 6,1740,2016
Sales and service occupations,Ward 6,13475,2016
"Trades, transport and equipment operators and related occupations",Ward 6,7040,2016
"Natural resources, agriculture and related production occupations",Ward 6,270,2016
Occupations in manufacturing and utilities,Ward 6,3845,2016
All occupations,Ward 7,48575,2016
Management occupations,Ward 7,2460,2016
"Business, finance and administration occupations",Ward 7,6540,2016
Natural and applied sciences and related occupations,Ward 7,2060,2016
Health occupations,Ward 7,2415,2016
"Occupations in education, law and social, community and government services",Ward 7,3905,2016
"Occupations in art, culture, recreation and sport",Ward 7,880,2016
Sales and service occupations,Ward 7,14185,2016
