Ethnoculture,Ward_ID,Population,Year
Total - Ethnic origin for the population in private households - 25% sample data,Toronto,2691665,2016
North American Aboriginal origins,Toronto,35630,2016
First Nations (North American Indian),Toronto,27610,2016
Inuit,Toronto,520,2016
Métis,Toronto,8465,2016
Other North American origins,Toronto,345705,2016
Acadian,Toronto,2315,2016
American,Toronto,27470,2016
Canadian,Toronto,323175,2016
New Brunswicker,Toronto,45,2016
Newfoundlander,Toronto,1430,2016
Nova Scotian,Toronto,330,2016
Ontarian,Toronto,380,2016
Québécois,Toronto,880,2016
"Other North American origins, n.i.e.",Toronto,150,2016
European origins,Toronto,1288855,2016
British Isles origins,Toronto,597295,2016
Channel Islander,Toronto,180,2016
Cornish,Toronto,150,2016
English,Toronto,331890,2016
Irish,Toronto,262965,2016
Manx,Toronto,435,2016
Scottish,Toronto,256250,2016
Welsh,Toronto,28210,2016
"British Isles origins, n.i.e.",Toronto,52900,2016
French origins,Toronto,122870,2016
Alsatian,Toronto,265,2016
Breton,Toronto,40,2016
Corsican,Toronto,40,2016
French,Toronto,122610,2016
Western European origins (except French origins),Toronto,187190,2016
Austrian,Toronto,16145,2016
Bavarian,Toronto,80,2016
Belgian,Toronto,4895,2016
Dutch,Toronto,41650,2016
Flemish,Toronto,465,2016
Frisian,Toronto,235,2016
German,Toronto,130895,2016
Luxembourger,Toronto,130,2016
Swiss,Toronto,7630,2016
"Western European origins, n.i.e.",Toronto,340,2016
Northern European origins (except British Isles origins),Toronto,36720,2016
Danish,Toronto,7580,2016
Finnish,Toronto,8165,2016
Icelandic,Toronto,2305,2016
Norwegian,Toronto,9180,2016
Swedish,Toronto,10400,2016
"Northern European origins, n.i.e.",Toronto,1950,2016
Eastern European origins,Toronto,302480,2016
Bulgarian,Toronto,6495,2016
Byelorussian,Toronto,4085,2016
Czech,Toronto,9505,2016
"Czechoslovakian, n.o.s.",Toronto,2320,2016
Estonian,Toronto,4615,2016
Hungarian,Toronto,33700,2016
Latvian,Toronto,5710,2016
Lithuanian,Toronto,11670,2016
Moldovan,Toronto,1270,2016
Polish,Toronto,114530,2016
Romanian,Toronto,26255,2016
