Permit_Num,Permit_Type,Structure_Type,Work,Street_Num,Street_Name,Street_Type,Street_Direction,Postal,Geo_Id,Ward_Grid,Application_Date,Issued_Date,Completed_Date,Status,Description,Est_Const_Cost,Address,Coordinates,Ward_Index,Ward
01 185413 BLD,Building Additions/Alterations,Parking Garage,Interior Alterations,20,THE QUEENSWAY, , ,M6R,8855505.0,S1404,2001-10-12,2001-11-08,2016-01-26,Closed,Demolish and reconstruct existing steel/concrete vehicle maintenance platform in existing TTC street car maintenance workshop.  Also replace existing sand storage box with new steel container on reinforced concrete foundation in YARD AREA of the TTC streetcar garage,1200000,"20,THE QUEENSWAY,    M6R",POINT (-79.448028 43.639437),13.0,Parkdale-High Park
04 167768 BLD,Building Additions/Alterations,Apartment Building,Interior Alterations,600-604,ROGERS,RD, ,M6M,14189823.0,W1209,2004-08-20,2004-11-09,2016-12-15,Closed,Conversion of existing ground floor commercial floor space into 7 apartment units to Senior Citizen - Non Profit Housing.,650000,"600-604,ROGERS,RD   M6M",POINT (-79.472849 43.682202),22.0,York South-Weston
06 176865 BLD,New Houses,SFD - Detached,New Building,12,THE BRIDLE,PATH, ,M2L,11541627.0,N2504,2006-09-19,2006-10-06,2016-10-07,Closed,Construct a new two storey single family dwelling,700000,"12,THE BRIDLE,PATH   M2L",POINT (-79.380299 43.739285),11.0,Don Valley West
07 132494 BLD,New Houses,Stacked Townhouses,New Building,651,WARDEN,AVE, ,M1L,395724.0,E3507,2007-03-30,2010-06-16,2016-09-21,Closed,to construct stacked townhouses Block E (12 units),2000000,"651,WARDEN,AVE   M1L",POINT (-79.276472 43.701708),5.0,Scarborough Southwest
07 244088 BLD,New Houses,SFD - Detached,New Building,514,VESTA,DR, ,M5P,878424.0,S2103,2007-07-17,2007-08-31,2016-01-11,Closed,"Proposal to construct a new 2 sty SFD.  See PAL 07 109336, Demo 07 244091, and C.O.A - A0202/07TEY.",1500000,"514,VESTA,DR   M5P",POINT (-79.420906 43.701265),12.0,Toronto-St. Paul's
07 266299 BLD,New Houses,SFD - Detached,New Building,84,KINGSWAY,CRES, ,M8X,10085801.0,W0503,2007-10-01,2007-11-19,2016-04-27,Closed,erect a new two storey dwelling as approved by c/o/a 533/06,600000,"84,KINGSWAY,CRES   M8X",POINT (-79.503256 43.658356),15.0,Etobicoke-Lakeshore
08 173856 B05,New Houses,Stacked Townhouses,New Building,2230,GERRARD,ST,E,###,14650247.0,S3203,2008-06-23,2009-05-13,2016-07-27,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING C NORTH (UNITS 41-50) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",2000000,"2230,GERRARD,ST E ###",POINT (-79.298143 43.68495),4.0,Beaches-East York
08 173856 B07,New Houses,Stacked Townhouses,New Building,2230,GERRARD,ST,E,###,14650247.0,S3203,2008-06-23,2009-05-13,2016-07-27,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING D SOUTH (UNITS 61-70) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",2000000,"2230,GERRARD,ST E ###",POINT (-79.298143 43.68495),4.0,Beaches-East York
08 173856 B08,New Houses,Stacked Townhouses,New Building,2230,GERRARD,ST,E,###,14650247.0,S3203,2008-06-23,2009-05-13,2016-10-18,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING D NORTH (UNITS 71-80) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",2000000,"2230,GERRARD,ST E ###",POINT (-79.298143 43.68495),4.0,Beaches-East York
08 173856 B09,New Houses,Stacked Townhouses,New Building,2230,GERRARD,ST,E,###,14650247.0,S3203,2008-06-23,2009-05-13,2016-09-21,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING E NORTH (UNITS 81-90) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",2000000,"2230,GERRARD,ST E ###",POINT (-79.298143 43.68495),4.0,Beaches-East York
08 173856 B10,New Houses,Stacked Townhouses,New Building,2230,GERRARD,ST,E,###,14650247.0,S3203,2008-06-23,2009-05-13,2016-09-21,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING E SOUTH (UNITS 91-100) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",2000000,"2230,GERRARD,ST E ###",POINT (-79.298143 43.68495),4.0,Beaches-East York
08 173856 B11,New Houses,Stacked Townhouses,New Building,2230,GERRARD,ST,E,###,14650247.0,S3203,2008-06-23,2009-05-13,2016-09-20,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING F SOUTH (UNITS 101-110) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",2000000,"2230,GERRARD,ST E ###",POINT (-79.298143 43.68495),4.0,Beaches-East York
08 173856 B12,New Houses,Stacked Townhouses,New Building,2230,GERRARD,ST,E,###,14650247.0,S3203,2008-06-23,2009-05-13,2016-10-17,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING F NORTH (UNITS 111-120) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",2000000,"2230,GERRARD,ST E ###",POINT (-79.298143 43.68495),4.0,Beaches-East York
08 190187 BLD,New Building,Multiple Use/Non Residential,New Building,18,YORK,ST, ,###,14070028.0,S2017,2008-08-05,2010-04-06,2016-11-16,Closed,"Proposal to construct a 26 sty office building with 3 levels of below grade parking and a mech penthouse.  Ground floor to include retail and loading, 2nd floor contains mech and elec service rooms, floors 3-26 will contain office.  Also, enclosed pedestrian bridge over York St. to 25 York St..",190000000,"18,YORK,ST   ###",POINT (-79.382277 43.644124),24.0,Spadina-Fort York
08 212302 BLD,New Houses,SFD - Detached,New Building,92,FOREST HILL,RD, ,M4V,805825.0,S2206,2008-10-10,2009-01-14,2016-08-02,Closed,Demolish existing two storey dwelling and construct a new three storey SFD.,1000000,"92,FOREST HILL,RD   M4V",POINT (-79.40498 43.689927),12.0,Toronto-St. Paul's
09 109016 BLD,New Houses,SFD - Detached,New Building,19,PARKVIEW HILL,CRES, ,M4B,3897538.0,S3101,2009-02-12,2010-01-29,2016-04-08,Closed,permit to construct new sfd detached house - 2 stories - 408m2 - building includes partial sub basement - please see 07 109857 ZAL - 07 116288 MV - 07 229911 OA - 08 218026 STE SA - included with the building permit plans are shoring details provided by Peng,525000,"19,PARKVIEW HILL,CRES   M4B",POINT (-79.322508 43.70444),4.0,Beaches-East York
09 138906 BLD,New Building,Multiple Use/Non Residential,New Building,493,PARLIAMENT,ST, ,M4X,7640693.0,S2803,2009-05-15,2009-10-16,2016-06-16,Closed,Proposal to construct a 3 sty bank & office building.  See Demo 09 109577.  493 Parliament St & 252 B Carlton St.,1500000,"493,PARLIAMENT,ST   M4X",POINT (-79.367913 43.664687),21.0,Toronto Centre
09 194077 BLD,Building Additions/Alterations,Multiple Use/Non Residential,Interior Alterations,1,DUNDAS,ST,W,M5G,20040460.0,S2713,2009-12-04,2010-01-22,2016-01-26,Closed,"Proposed interior alterations to levels 1,2 and 4 of the Toronto Eaton Centre. Level 4 is not included in the scope of work.",5670000,"1,DUNDAS,ST W M5G",POINT (-79.381563 43.655911),21.0,Toronto Centre
09 199165 BLD,New Building,Mixed Use/Res w Non Res,New Building,4759-4789,YONGE,ST, ,M2N,9066026.0,N2306,2009-12-22,2013-08-19,2016-12-07,Closed,"Willowdale Plaza lands - Proposal to develop the site with office, retail commercial and residential uses.  The development proposes two towers of 35 and 44 storeys connected by a 5-storey podium with grade related retail.",82000000,"4759-4789,YONGE,ST   M2N",POINT (-79.410312 43.760361),2.0,Willowdale
10 120833 BLD,New Building,Multiple Use/Non Residential,New Building,3362,YONGE,ST, ,M4N,7793317.0,N1603,2010-02-19,2010-08-05,2016-10-27,Closed,Proposed three storey mixed use building with basement - Shoppers Drug Mart and 3rd storey office space,3800000,"3362,YONGE,ST   M4N",POINT (-79.404469 43.732223),17.0,Eglinton-Lawrence
10 139869 BLD,New Building,Mixed Use/Res w Non Res,New Building,121,MCMAHON,DR, ,###,30024497.0,N2406,2010-03-25,2012-09-06,2016-04-15,Closed,"1001-1019 SHEPPARD AVE E- BLOCK 14 - CONCORD PARK PLACE TANGO
31 storey apartment building containing 428 dwelling units including attached two and three storey units containing retail and including dwelling units each having access from an internal corridor system with four levels of underground parking - BLK 14 - Concord Park Place - TANGO",81000000,"121,MCMAHON,DR   ###",POINT (-79.370622 43.767722),18.0,Don Valley North
10 142571 BLD,New Building,Apartment Building,New Building,105,GEORGE,ST, ,M5A,20145513.0,S2807,2010-03-30,2015-08-07,2016-10-28,Closed,Proposal revised to construct a 22-storey residential condominium building containing 294 dwelling units  including a landscaped courtyard connected to the retained and restored heritage buildings at 252-258 Adelaide Street East. The below grade garage will contain 155 parking spaces [DBG],30000000,"105,GEORGE,ST   M5A",POINT (-79.370876 43.652222),21.0,Toronto Centre
10 147511 BLD,New Houses,SFD - Semi-Detached,New Building,146,WAVERLEY,RD, ,M4L,8237052.0,S3209,2010-04-08,2010-09-29,2016-11-02,Closed,"Proposal to construct a new three storey semi detached dwelling with detached two car garage at rear of building.  See PAL 09 176826, COA - A0720/09TEY, and demo.",650000,"146,WAVERLEY,RD   M4L",POINT (-79.301881 43.67153),4.0,Beaches-East York
10 194397 BLD,Building Additions/Alterations,Multiple Use/Non Residential,Interior Alterations,720,BATHURST,ST, ,M5S,6924859.0,S1903,2010-06-11,2010-06-30,2016-10-06,Closed,"Interior alterations to the ground, second and third floors of this building. The ground floor is a restauarnt, the second floor is a commercial school and the third floor is an office. This proposal includes HVAC and Plumbing.",1040000,"720,BATHURST,ST   M5S",POINT (-79.410796 43.663203),3.0,University-Rosedale
10 197078 BLD,New Houses,SFD - Detached,New Building,5,CARONPORT,CRES, ,M3A,496856.0,N3404,2010-06-15,2010-08-05,2016-10-03,Closed,Proposed 3 storey sfd,554190,"5,CARONPORT,CRES   M3A",POINT (-79.318844 43.744602),19.0,Don Valley East
10 230398 BLD,New Houses,SFD - Detached,New Building,9,ORRELL,AVE, ,M9A,1022651.0,W0404,2010-07-29,2010-08-30,2016-01-26,Closed,Proposed new two storey detached dwelling with attached garage.,900000,"9,ORRELL,AVE   M9A",POINT (-79.530341 43.656209),16.0,Etobicoke Centre
10 241329 BLD,New Building,Mixed Use/Res w Non Res,New Building,69,LYNN WILLIAMS,ST, ,M6K,14600147.0,S1908,2010-08-17,2011-12-23,2016-09-30,Closed,"Construction of two(2) new towers for 69 Lynn Williams Street(Block 5) and 150 East Liberty Street(Block 7). These two building will share a common below grade, 5 storey parking garage. 69 Lynn Williams Street(Block 5) will be a 15 storey residential condominium building with a mechanical penthouse. 150 East Liberty Street(Block 7) will be a 32 storey mixed use building with a mechanical penthouse and mezzanine level.   ",25000000,"69,LYNN WILLIAMS,ST   M6K",POINT (-79.415505 43.638794),24.0,Spadina-Fort York
