Neighbourhoods,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year
Agincourt/Malvern,,1107,1251,1361,1239,2016
Ajax/Pickering,,946,1212,1302,1270,2016
Alderwood,,1036,1264,,1245,2016
Aurora,,1076,1270,,1286,2016
Banbury-Don Mills/York Mills,881,1097,1253,1565,1218,2016
Bathurst Manor,797,1101,1259,1435,1237,2016
Bay Street Corridor,1450,1728,2885,,2027,2016
Bayview Village,,1325,1571,,1499,2016
Bayview Woods-Steeles/Hillcrest Village,,1401,1662,1709,1614,2016
Bedford Park-Nortown,889,1086,1417,1988,1271,2016
Beechborough-Greenbrook,776,897,1109,,1001,2016
Bendale,866,1028,1119,1261,1136,2016
Birchcliffe-Cliffside,877,1121,1380,,1237,2016
Black Creek,918,981,1142,1367,1145,2016
Bradford/West Gwillimbury/New Tecumseth,827,920,1089,1338,1023,2016
Brampton (East),835,1170,1314,1405,1280,2016
Brampton (West),771,1024,1184,1404,1143,2016
Briar Hill-Belgravia,742,1020,1248,1428,1121,2016
Broadview North,889,1099,1326,,1137,2016
Bronte,,1253,1485,1784,1408,2016
Brookhaven-Amesbury,748,945,1122,1402,1092,2016
Cabbagetown-South St. James Town,953,1252,1778,,1298,2016
Caledon,,,,,,2016
Caledonia-Fairbank,769,927,1108,,1001,2016
Casa Loma,1029,1382,2106,3240,1763,2016
Churchill Meadows/Erin Mills,855,991,1203,1600,1301,2016
Church-Yonge Corridor,1073,1362,1780,,1349,2016
Clairlea-Birchmount,889,948,1153,,1020,2016
Clanton Park,891,1112,1321,,1205,2016
Clarkson/Lorne Park,894,1089,1243,1366,1193,2016
Cliffcrest,837,1008,1131,1363,1101,2016
Cooksville,898,1051,1229,1241,1152,2016
Crescent Town,796,979,1195,1480,1069,2016
Danforth Village-East York,761,990,1147,,1037,2016
Don Valley Village/Pleasant View,848,1123,1299,1446,1288,2016
Dorset Park,770,910,1044,1326,1005,2016
Dovercourt/Davenport/Junction,,,1402,,,2016
Downsview,760,944,1109,1269,1056,2016
Dufferin Grove/Little Portugal,866,1322,1651,,1296,2016
East End-Danforth,892,1053,1194,,1100,2016
East Gwillimbury/Newmarket,738,1069,1148,,1094,2016
Edenbridge-Humber Valley,,1044,1235,1640,1217,2016
Eglinton East,892,939,1108,1265,1087,2016
Elms-Old Rexdale,,,1168,,1162,2016
Englemount-Lawrence,824,1001,1193,1579,1161,2016
Eringate-Centennial-West Deane,,,1195,,1189,2016
Etobicoke West Mall,1036,1076,1302,1500,1286,2016
Flemingdon Park,,1014,1204,1431,1155,2016
Forest Hill North,913,1146,1461,2049,1327,2016
Forest Hill South,930,1185,1442,,1253,2016
Georgina,,805,959,,952,2016
Guildwood,,,,,,2016
Henry Farm,,1248,1422,1615,1396,2016
High Park North/Junction,1043,1367,1741,2253,1465,2016
High Park-Swansea,700,1130,1333,,1172,2016
Humber Heights-Westmount,,1126,1313,1482,1301,2016
Humewood-Cedarvale,852,1246,1641,,1386,2016
Ionview,843,988,1131,1386,1069,2016
Islington/City Centre North,1139,1248,1407,1522,1337,2016
Islington/City Centre South,991,,1295,,1208,2016
Keelesdale-Eglinton West,,892,982,,914,2016
Kennedy Park,,932,1095,1156,1031,2016
Kensington-Chinatown,,,,,,2016
Kingsview Village-The Westway,1142,1095,1302,1489,1278,2016
Kingsway South,,1139,,,,2016
Lambton Baby Point,739,978,,,,2016
L'Amoreaux/Steeles/Milliken,,1060,1244,1422,1185,2016
Lansing-Westgate,792,1237,1435,1578,1358,2016
Lawrence Park North,1015,1248,1683,,1417,2016
Lawrence Park South,984,1261,1752,,1469,2016
Leaside-Bennington,909,1138,1537,,1283,2016
Little Italy/Trinity-Bellwoods,787,956,1479,,1339,2016
Long Branch,747,916,1016,,945,2016
Malton,,871,1150,1227,1105,2016
Maple Leaf,710,1020,1192,,1129,2016
Markham,,1149,1271,1362,1228,2016
Meadowvale,,1281,1448,1548,1418,2016
