Permit_Num,Permit_Type,Structure_Type,Work,Street_Num,Street_Name,Street_Type,Street_Direction,Postal,Geo_Id,Ward_Grid,Application_Date,Issued_Date,Completed_Date,Status,Description,Est_Const_Cost,Address,Coordinates,Ward_Index,Ward
00 166202 CMB,Non-Residential Building Permit,Secondary School,Alteration to Existing Building,171,AVONDALE,AVE, ,M2N,485329.0,N2306,2000-06-27,2000-07-20,2016-10-21,Closed,STAIR ENCLOSURES & UPGRADES 6X20 & 6 X 4.,75000,171 AVONDALE AVE   M2N,POINT (-79.400002 43.759678),2.0,Willowdale
00 325269 CMB,Non-Residential Building Permit,Hospital,Alteration to Existing Building,555,FINCH,AVE,W,M2R,13501524.0,N1003,2000-08-04,2000-08-30,2016-12-06,Closed,INTERIOR ALTERATION TO NORTH YORK GENERAL HOSPITAL ON THE 2ND & 5TH FLOOR.,100000,555 FINCH AVE W M2R,POINT (-79.447382 43.77161),1.0,York Centre
00 363603 CMB,Non-Residential Building Permit,Place of Worship,Alteration to Existing Building,2420,DUFFERIN,ST, ,M6E,9655860.0,N1505,2000-12-21,2001-01-25,2016-12-06,Closed,interior renovations for a new elevator,5000,2420 DUFFERIN ST   M6E,POINT (-79.45135 43.697447),17.0,Eglinton-Lawrence
02 113930 BLD,Building Additions/Alterations,Place of Worship,Interior Alterations,650,MCNICOLL,AVE, ,M2H,11484475.0,N2404,2002-02-27,2002-06-03,2016-07-14,Closed,INTERIOR ALTERATIONS TO EXISTING PLACE OF WORSHIP.,509500,650 MCNICOLL AVE   M2H,POINT (-79.338273 43.804377),18.0,Don Valley North
02 118335 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,3,ELM,AVE, ,M4W,7950620.0,S2704,2002-03-14,2002-03-21,2016-07-25,Closed,"renovation to bathroom, kitchen & new sleeping area  (rear building)-for day care fac.",10000,3 ELM AVE   M4W,POINT (-79.380414 43.674312),3.0,University-Rosedale
02 143413 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,116,FERMANAGH,AVE, ,M6R,804845.0,S1403,2002-06-06,2002-06-21,2016-10-14,Closed,"make interior alterations to 2nd floor in rooms 214, 213 and 212 in Building ""A"" for new library.  ",80000,116 FERMANAGH AVE   M6R,POINT (-79.447926 43.646838),13.0,Parkdale-High Park
02 144715 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,171,AVONDALE,AVE, ,M2N,485329.0,N2306,2002-06-11,2002-06-11,2016-10-21,Closed,CLASSROOM RENOVATION,110000,171 AVONDALE AVE   M2N,POINT (-79.400002 43.759678),2.0,Willowdale
04 128066 BLD,Non-Residential Building Permit,Place of Worship,New Building,161,SKYWAY,AVE, ,###,20055304.0,W0206,2004-04-26,2004-10-13,2016-12-15,Closed,New Place of Worship with clestory and mezzanine.,2000000,161 SKYWAY AVE   ###,POINT (-79.580679 43.681426),14.0,Etobicoke North
06 124225 BLD,Building Additions/Alterations,Secondary School,Interior Alterations,90,CROATIA,ST, ,M6H,788987.0,S1804,2006-04-07,2006-04-13,2016-02-01,Closed,Proposed interior alteration to portions of 2nd and third floor of Secondary School,550000,90 CROATIA ST   M6H,POINT (-79.438137 43.658171),20.0,Davenport
07 110700 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,270,FIRGROVE,CRES, ,M3N,3062806.0,W0706,2007-02-21,2007-03-27,2016-12-20,Closed,interior alters to main floor kitchen,175000,270 FIRGROVE CRES   M3N,POINT (-79.519912 43.752005),0.0,Humber River-Black Creek
