Permit_Num,Permit_Type,Structure_Type,Work,Street_Num,Street_Name,Street_Type,Street_Direction,Postal,Geo_Id,Ward_Grid,Application_Date,Issued_Date,Completed_Date,Status,Description,Est_Const_Cost,Address,Coordinates,Ward_Index,Ward
13 115917 BLD,Building Additions/Alterations,"Transit Station,Subway, Bus Terminal",Interior Alterations,1,YORKDALE,RD, ,M6A,4940063.0,N1502,2013-02-05,2013-02-21,2016-12-02,Closed,New communication room and rehablitation of yorkdale Go Bus terminal.,1500000,1 YORKDALE RD   M6A,POINT (-79.449097 43.725178),17.0,Eglinton-Lawrence
13 116906 BLD,Building Additions/Alterations,"Transit Station,Subway, Bus Terminal",Interior Alterations,33,BLOOR,ST,E,M4W,13497814.0,S2708,2013-02-06,2013-02-12,2016-04-04,Closed,Proposal for interior alterations to platform level rooms to change from communication rooms to security rooms (102.37m2) at Bloor-Yonge Station.,150000,33 BLOOR ST E M4W,POINT (-79.387611 43.670093),3.0,University-Rosedale
14 250795 BLD,Building Additions/Alterations,"Transit Station,Subway, Bus Terminal",Interior Alterations,38,COMSTOCK,RD, ,M1L,14048405.0,E3501,2014-11-12,2014-12-24,2016-06-26,Closed,To complete interior alterations to remove the above ground storage and replace them with two double walled ASTs.,1000000,38 COMSTOCK RD   M1L,POINT (-79.291077 43.720319),5.0,Scarborough Southwest
14 260878 BLD,Building Additions/Alterations,"Transit Station,Subway, Bus Terminal",Interior Alterations,22,CHESTER,AVE, ,M4K,10834581.0,S2905,2014-12-05,2014-12-18,2016-09-29,Closed,"Proposal for interior alterations related to sanitary pump replacement, ""Chester Subway Station""",385000,22 CHESTER AVE   M4K,POINT (-79.352537 43.67824),23.0,Toronto-Danforth
15 131086 BLD,Building Additions/Alterations,"Transit Station,Subway, Bus Terminal",Interior Alterations,55,FRONT,ST,W,###,10864311.0,S2811,2015-03-23,2015-03-31,2016-07-20,Closed,Proposal for interior alterations/coring for venting in diesel exhaust room/LRT terminal level in existing transit station. ,500000,55 FRONT ST W ###,POINT (-79.37923 43.645761),24.0,Spadina-Fort York
15 150417 BLD,Building Additions/Alterations,"Transit Station,Subway, Bus Terminal",Interior Alterations,71,FRONT,ST,W,M5J,10864314.0,S2811,2015-05-01,2015-05-12,2016-06-17,Closed,"Proposal for interior alterations for a new takeout restaurant on the Concourse Level at Union Station - Unit #221, Booster Juice",60000,71 FRONT ST W M5J,POINT (-79.380551 43.645469),24.0,Spadina-Fort York
15 174242 BLD,Building Additions/Alterations,"Transit Station,Subway, Bus Terminal",Interior Alterations,2190,YONGE,ST, ,M4S,11272589.0,S2203,2015-06-15,2015-07-14,2016-02-03,Closed,Proposal for interior alterations to create a new ATC Equipment Room on the ground floor of the existing Transit Station.,292486,2190 YONGE ST   M4S,POINT (-79.398964 43.705331),12.0,Toronto-St. Paul's
15 190707 BLD,Building Additions/Alterations,"Transit Station,Subway, Bus Terminal",Interior Alterations,38,COMSTOCK,RD, ,M1L,14048405.0,E3501,2015-07-14,2015-08-24,2016-04-21,Closed,"Proposal for interior alterations for the installation of a new maintanance platform and storage tank barrier - ""Eglinton Garage""",266750,38 COMSTOCK RD   M1L,POINT (-79.291077 43.720319),5.0,Scarborough Southwest
15 240712 BLD,Building Additions/Alterations,"Transit Station,Subway, Bus Terminal",Interior Alterations,65,FRONT,ST,W,M5J,10864313.0,S2811,2015-10-21,2015-11-13,2016-05-10,Closed,Proposal for interior alterations for new demising walls and storefronts on the Concourse Level at Union Station,1013323,65 FRONT ST W M5J,POINT (-79.380348 43.645528),24.0,Spadina-Fort York
01 140018 CMB,Building Additions/Alterations,"Transit Station,Subway, Bus Terminal",Interior Alterations,61,FRONT,ST,W,M5J,10864312.0,S1037,2001-05-23,2001-12-11,,Permit Issued,make interior alterations to portions of the great hall & 2nd floor for office space & install ticket counters (great hall only)  and install elevator ( in new office space)  from basement to 2nd floor  Site review reports up to Dec 18/2001 have been attached to permit file/inspection process.,700000,61 FRONT ST W M5J,POINT (-79.380073 43.645254),24.0,Spadina-Fort York
01 150024 CMB,Building Additions/Alterations,"Transit Station,Subway, Bus Terminal",Interior Alterations,61,FRONT,ST,W,M5J,10864312.0,S1037,2001-06-20,2001-08-03,,Permit Issued,make interior alterations to portion of basement level for storage and workshop uses.Bob Mckewon is familiar,15000,61 FRONT ST W M5J,POINT (-79.380073 43.645254),24.0,Spadina-Fort York
01 153703 CMB,Building Additions/Alterations,"Transit Station,Subway, Bus Terminal",Interior Alterations,315,MAIN,ST, ,M4C,8232328.0,S1930,2001-06-29,2002-12-11,,Permit Issued,Construct elevator shaft between Eastbound subway platform level to street level and elevator shaft between westbound subway platform level and concourse level.  Also make alterations to machine room on mezzanine level.,2000000,315 MAIN ST   M4C,POINT (-79.301503 43.689087),4.0,Beaches-East York
01 160066 000,Building Additions/Alterations,"Transit Station,Subway, Bus Terminal",Interior Alterations,61,FRONT,ST,W,M5J,10864312.0,S1037,2001-07-19,2001-12-11,,Permit Issued,Make interior alterations to a portion of the concourse level for new baggage and operation office.  Also construct elevator shaft for elevator between concourse level and sub-basement level and shaft between concourse level  and basement level for baggage lift.,1800000,61 FRONT ST W M5J,POINT (-79.380073 43.645254),24.0,Spadina-Fort York
01 162135 CMB,Building Additions/Alterations,"Transit Station,Subway, Bus Terminal",Interior Alterations,1130,BATHURST,ST, ,M5R,13319673.0,S1235,2001-07-25,2001-08-10,,Permit Issued,make interior alterations.,75000,1130 BATHURST ST   M5R,POINT (-79.415525 43.675269),12.0,Toronto-St. Paul's
01 162144 CMB,Building Additions/Alterations,"Transit Station,Subway, Bus Terminal",Interior Alterations,1130,BATHURST,ST, ,M5R,13319673.0,S1235,2001-07-25,2001-08-02,,Permit Issued,make interior alterations to portion of 1st floor.(conv. address is 835 Davenport Rd-  Patten Building),200000,1130 BATHURST ST   M5R,POINT (-79.415525 43.675269),12.0,Toronto-St. Paul's
01 197853 BLD,Building Additions/Alterations,"Transit Station,Subway, Bus Terminal",Interior Alterations,950,KIPLING,AVE, ,###,8353629.0,W0324,2001-11-26,2001-12-03,,Permit Issued,Interior alterations to TTC subway station.,50000,950 KIPLING AVE   ###,POINT (-79.534373 43.638639),15.0,Etobicoke-Lakeshore
02 110005 BLD,Building Additions/Alterations,"Transit Station,Subway, Bus Terminal",Interior Alterations,10-36,YORK MILLS,RD, ,M2P,14188909.0,N1521,2002-02-12,2002-04-17,,Permit Issued,CONSTRUCTION OF 2 ELECTRICAL ROOMS TO ACCOMMODATE ELECTRICAL POWER AND CONTROL EQUIPMENT FOR USE WITH NEW SUBWAY VENTILATION FAN ASSEMBLIES.  ,5000000,10-36 YORK MILLS RD   M2P,POINT (-79.405165 43.744563),11.0,Don Valley West
02 156545 BLD,Building Additions/Alterations,"Transit Station,Subway, Bus Terminal",Interior Alterations,1900,YONGE,ST, ,M4S,7273830.0,S1227,2002-07-23,2002-07-26,,Inspection,make interior alterations to portion of the ground floor  - transit shop,100000,1900 YONGE ST   M4S,POINT (-79.397125 43.697859),12.0,Toronto-St. Paul's
03 118754 BLD,Building Additions/Alterations,"Transit Station,Subway, Bus Terminal",Interior Alterations,30,DONLANDS,AVE, ,###,7939906.0,S1427,2003-03-27,2003-06-10,,Inspection,make interior alterations to create a newstand in the station.Tenant: Gateway Newstands,25000,30 DONLANDS AVE   ###,POINT (-79.337821 43.680991),23.0,Toronto-Danforth
03 144161 BLD,Building Additions/Alterations,"Transit Station,Subway, Bus Terminal",Interior Alterations,1800,YONGE,ST, ,###,7273877.0,S1227,2003-06-12,2003-06-20,,Inspection,replace existing track floor slab and car wash equipment.,900000,1800 YONGE ST   ###,POINT (-79.396605 43.696563),12.0,Toronto-St. Paul's
04 115236 BLD,Non-Residential Building Permit,"Transit Station,Subway, Bus Terminal",New Building,305,BREMNER,BLVD, ,###,13975732.0,S1036,2004-03-10,2004-05-06,,Inspection,Construct above grade art panels supported by steel frame steel frame with canopy.,400000,305 BREMNER BLVD   ###,POINT (-79.389643 43.640256),24.0,Spadina-Fort York
