Population,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Age,2731570,118040,118020,129080,108805,116685,104320,108035,114395,108470,115510,104310,107900,103805,106875,102510,94580,110080,118800,109465,110280,112605,105540,98800,102390,102275
  0 to 4 years,136000,6815,5230,6370,5770,6530,5510,6575,6300,5020,4000,3510,4440,3560,6470,5560,5015,4715,5065,6895,6160,5905,4880,4950,5860,4890
  5 to 9 years,135025,7500,5905,5630,5540,6695,5195,6895,7025,4460,1965,2965,4295,2580,5720,6825,5185,5140,4420,6550,6330,6250,4875,5125,6385,5565
  10 to 14 years,127110,7400,6080,4870,4685,6350,5045,6615,7155,4000,1420,2775,4050,2240,4535,6725,4990,4810,4095,5745,6185,6120,4545,4835,5915,5935
  15 to 19 years,145525,8380,6840,5370,4450,7185,6100,7450,7340,4360,2225,4255,4135,3850,4515,6645,5530,5815,6195,5380,6745,6975,5805,6180,6685,7110
  20 to 24 years,194750,9545,7335,7690,5590,7995,6995,8985,7155,7305,10835,11605,6230,10775,5430,6270,5915,8165,9910,5760,6990,8390,6985,7265,7965,7665
  25 to 29 years,232945,8625,6530,10535,9860,8030,6790,7985,6650,12530,25595,14270,10545,14575,7420,6105,6185,9135,11865,6370,6640,7700,7590,7450,7190,6790
  30 to 34 years,224575,7950,6470,11230,11065,8160,7370,7280,7035,12485,21705,10935,10755,12920,9350,6145,6375,8140,10895,8150,7105,7495,6550,6350,6560,6115
  35 to 39 years,196310,7450,6375,10310,9675,7900,7750,6840,7760,9945,12435,7210,8115,9210,9815,6475,6550,7215,8865,8955,7265,7090,5560,5465,6385,5690
  40 to 44 years,182395,7350,6945,9260,8635,7480,7135,6515,7840,7810,7780,5780,7330,7000,8945,7335,6300,7295,7870,8755,7515,7210,6140,5800,6320,6050
  45 to 49 years,190925,8060,8365,9155,8200,8345,7500,7305,8515,7260,5790,5995,7200,7140,8395,8275,6730,7750,8255,8845,8320,7755,7420,6615,6850,6900
  50 to 54 years,202405,8485,9560,10170,7860,9365,8000,7900,8460,7285,5265,6295,7105,7695,8440,7915,7195,7740,8455,8945,9345,8920,8430,7960,7460,8155
  55 to 59 years,182805,7620,9400,9585,6990,8420,7395,6845,7750,6710,4525,5725,6435,6350,7140,6900,6315,6955,7615,8075,8370,8015,7410,7310,7105,7830
  60 to 64 years,153865,6100,7960,8075,5945,6755,5835,5215,6580,5365,3610,5245,6345,5155,5950,5740,5125,6230,6505,6710,6815,6580,6720,6555,5800,6960
  65 to 69 years,130540,5270,6505,6585,4960,5075,5070,4465,5665,4305,2995,5020,5970,4130,5100,4985,4640,6050,5600,5090,5340,5215,6230,5710,4530,6040
  70 to 74 years,93605,3830,4805,4620,3205,3765,3360,3435,3985,3220,2035,4010,4705,2640,3260,3735,3645,4585,3990,3300,3510,3850,4565,3745,3540,4265
  75 to 79 years,76160,3030,4385,3595,2305,3270,3350,3250,3095,2670,1445,3225,3590,1755,2505,2690,3175,4085,3370,2380,2660,3255,4265,3010,3015,2785
