Permit_Num,Permit_Type,Structure_Type,Work,Street_Num,Street_Name,Street_Type,Street_Direction,Postal,Geo_Id,Ward_Grid,Application_Date,Issued_Date,Completed_Date,Status,Description,Est_Const_Cost
00 330311 CMB,Non-Residential Building Permit,"Hair, Barber and Other Salon",Addition/Alteration to Existing Building,3360,YONGE,ST, ,M4N,7793316,N1603,2000-08-22,2002-06-13,2016-10-27,Closed,Build second storey addition at rear. See prev. BP00329052   (w22):  ,10000
02 151529 BLD,Building Additions/Alterations,Museum,Interior Alterations,100,GARRISON,RD, ,M5V,807841,S1909,2002-06-27,2002-06-27,2016-07-25,Closed,Interior alterations,60000
04 111348 BLD,Building Additions/Alterations,Performing Arts Centre,Interior Alterations,6,NOBLE,ST, ,M6K,8133590,S1405,2004-02-24,2004-05-27,2016-01-19,Closed,Interior Alterations to Industrial space to create a Performing Arts Centre.  Pia Bouman School for Ballet.,650000
04 198435 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,5485-5487,DUNDAS,ST,W,M9B,,W0504,2004-12-07,2005-02-02,2016-01-29,Closed,Interior Alterations to convert a vacant unit to a Tai Chai Exercise center,10000
05 115473 BLD,New Building,Club,New Building,2,MUGGS ISLAND,PK, ,###,14635094,S2814,2005-03-15,2005-06-10,2016-06-08,Closed,New clubhouse for yacht club,1400000
06 195998 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,3401,DUFFERIN,ST, ,M6A,509769,N1502,2006-12-05,2006-12-21,2016-12-30,Closed,Premier Fitness - washroom renovation,35000
06 197901 BLD,Building Additions/Alterations,Performing Arts Centre,Interior Alterations,6,NOBLE,ST, ,M6K,8133590,S1405,2006-12-14,2007-03-12,2016-01-19,Closed,"Interior alterations to dance studio.  See BLD 04 111348 and all revisions.
",1000
07 160282 BLD,Building Additions/Alterations,Recreational,Interior Alterations,50,WABASH,AVE, ,M6R,11226744,S1403,2007-04-18,2007-05-02,2016-01-22,Closed,Interior alterations to existing 2 sty industrial office building in Sorauren Park to convert to a new Fieldhouse (no overnight sleeping).,300000
09 124927 BLD,Building Additions/Alterations,Club,Interior Alterations,100,INDIAN,RD, ,M6R,8006978,S1404,2009-04-08,2009-04-28,2016-08-03,Closed,Interior alterations to existing basemen washroom area.  NOTE:  See active PLB permit 08 202960.,40000
10 271932 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,180,QUEENS PLATE,DR, ,M9W,9655496,W0202,2010-10-05,2011-01-19,2016-12-20,Closed,"Interior alteration for a nail salon, ""Rexdale Nail Salon"".",50000
11 203933 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,1831,FINCH,AVE,W,M3N,13967947,N0805,2011-05-27,2011-06-08,2016-06-22,Closed,Nuyu International Unit 19,25000
11 326056 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,225,THE EAST MALL, , ,M9B,8087372,W0504,2011-12-14,2012-01-31,2016-01-18,Closed,Interior alterations to demolish and add new partition walls to vacant space and create *First Choice Hair Salon* Unit 4,60000
12 155365 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,204,BLOOR,ST,W,M5S,8408556,S2003,2012-04-17,2012-05-01,2016-06-28,Closed,Proposal for interior alterations to portion of ground and second floor commercial unit at front for personal grooming establishment spa/cosmetic dental in existing mixed-use building (235.56m2).  See ZC file 12-124735.,300000
14 136475 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,25,ST CLAIR,AVE,W,M4V,871401,S2211,2014-04-01,2014-04-09,2016-03-21,Closed,"Proposal for interior alterations to the ground floor to construct offices, ""The Badminton and Racquet Club of Toronto""",50000
14 150315 BLD,New Building,Retail Mall/Plaza,New Building,2000,EGLINTON,AVE,E,M1L,330626,E3707,2014-05-01,2014-10-06,2016-03-07,Closed,construct new building H shell only units H1-3,600000
14 153792 BLD,Building Additions/Alterations,Art Gallery,Interior Alterations,34,RIVERDALE,DR, ,M9V,9779377,W0106,2014-05-08,2014-05-30,2016-07-25,Closed,Proposed structural strengthening and landscape repairs     ,200000
14 172027 BLD,Building Additions/Alterations,Performing Arts Centre,Interior Alterations,30,BRIDGMAN,AVE, ,M5R,7994659,S2109,2014-06-11,2014-06-25,2016-03-11,Closed,"To complete interior alterations to the lobby of the existing ""Tarragon Theatre"".",50000
14 208713 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,100,BROADVIEW,AVE, ,M4M,776289,S3012,2014-08-19,2014-09-16,2016-01-25,Closed,Interior alterations to a vacant unit for a tenant fit up for a fitness centre/sled training (commercial school).,175000
14 258806 BLD,New Building,Retail Mall/Plaza,New Building,4435-4479,KINGSTON,RD, ,M1E,8100567,E4303,2014-12-01,2015-09-24,2016-06-30,Closed,construct one storey retail building C shell only units 1 & 2,700000
15 157036 BLD,Building Additions/Alterations,Indoor Swimming Pool,Interior Alterations,2,CHAMPAGNE,DR, ,M3J,7576550,N0807,2015-05-14,2015-11-13,2016-09-02,Closed,construct an indoor swimming pool for a swimming school (Jacob Swimming Pool) in industrial building.,350000
15 157043 BLD,Building Additions/Alterations,Television Studio(no audience),Interior Alterations,9,CHANNEL NINE,CRT, ,M1S,3633177,E4108,2015-05-14,2015-07-13,2016-05-24,Closed,Interior Alterations to server room in 'west wing' plus hvac upgrade and related structural and plumbing work.,500000
15 163510 BLD,Building Additions/Alterations,Museum,Interior Alterations,30,YONGE,ST, ,M5E,8676865,S2809,2015-05-27,2015-06-12,2016-01-25,Closed,"Proposal for interior alterations to the concourse level in exsiting museum - ""Hockey Hall of Fame""",750000
15 179717 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,77,ADELAIDE,ST,W,###,10222905,S2809,2015-06-24,2015-07-28,2016-09-30,Closed,"Permit for interior alterations to part of Fitness Club ""The Adelaide Club"" being UNIT 1 on level B-2 & B-3.  ",650000
15 201899 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,350,QUEENS QUAY, ,W,M5V,10223461,S2017,2015-08-05,2015-08-31,2016-04-07,Closed,"Proposal for interior alterations to combine existing fitness space and vacant retail space. - ""Cross fit"". Convenience address is 390 Queens Quay West.",1000000
15 211451 BLD,Building Additions/Alterations,Recreational,Interior Alterations,31,TAPSCOTT,RD, ,M1B,6947360,E4205,2015-08-24,2015-09-22,2016-04-25,Closed,"Proposal for interior alterations to fit out a new fitness facility - ""Planet Fitness""    ",500000
