Street_Num,Street_Name,Street_Type,Street_Direction
11,BETHNAL,AVE, 
326,KENNEDY,AVE, 
27,WILKET CREEK,RD, 
323,KEELE,ST, 
200,BLOOR,ST,E
322,INGLEWOOD,DR, 
304,HEATH,ST,E
42,GLENADEN,AVE,E
250,PRINCE EDWARD,DR,S
101,CONSTANCE,ST, 
295,AUGUSTA,AVE, 
25,VICE REGENT,BLVD, 
3319,DUNDAS,ST,W
406,RUNNYMEDE,RD, 
71,BRUNSWICK,AVE, 
26,COUNTRY,LANE, 
1364,ST CLAIR,AVE,W
138,CRANBROOKE,AVE, 
3,SUMMERHILL,GDNS, 
172,ELMWOOD,AVE, 
180,SHAW,ST, 
138,CRANBROOKE,AVE, 
171,AVONDALE,AVE, 
234,FLORENCE,AVE, 
32,FOREST RIDGE,DR, 
32,FOREST RIDGE,DR, 
305,WILLOW,AVE, 
555,FINCH,AVE,W
361,BEDFORD PARK,AVE, 
1101,STEELES,AVE,W
25,ALDERBROOK,DR, 
459,FAIRLAWN,AVE, 
3360,YONGE,ST, 
25,MOBILE,DR, 
49,MCBAIN,AVE, 
93,TRIPLE CROWN,AVE, 
5,JONATHAN DUNN,WAY, 
124,MANITOBA,ST, 
55,LAKE SHORE,BLVD,E
410,CRANBROOKE,AVE, 
89,NIPIGON,AVE, 
255,HALLAM,ST, 
164,ST LEONARDS,AVE, 
2420,DUFFERIN,ST, 
381,FRONT,ST,W
42,STRATHNAIRN,AVE, 
114-116,WILLOWDALE,AVE, 
29,CLARK,ST, 
551,WILSON HEIGHTS,BLVD, 
53,DOVERWOOD,CRT, 
33-45,NIAGARA,ST, 
135,MASSEY,ST, 
675,KING,ST,W
724,WINDERMERE,AVE, 
242,HARVIE,AVE, 
699,BLOOR,ST,W
278,BARTLETT,AVE, 
20,THE QUEENSWAY, , 
5485-5487,DUNDAS,ST,W
17,BLOOR,ST,W
3368,YONGE,ST, 
650,MCNICOLL,AVE, 
361,FRONT,ST,W
3,ELM,AVE, 
1118,QUEEN,ST,W
30,FLATFIELD,TER, 
765,INDIAN,RD, 
116,FERMANAGH,AVE, 
171,AVONDALE,AVE, 
678,QUEEN,ST,E
100,GARRISON,RD, 
162,KINGSWOOD,RD, 
2777,KIPLING,AVE, 
79,HUMMINGBIRD,DR, 
305,SOUTH KINGSWAY, , 
58,LINNSMORE,CRES, 
16,MARIANFELD,AVE, 
26,SALAMANDER,ST, 
6212-6600,YONGE,ST, 
94,CRESCENT,RD, 
2290,BLOOR,ST,W
918,ST CLAIR,AVE,W
678,QUEEN,ST,W
27,MILES,RD, 
17,READING,CRT, 
1,  IBMS SCARBOROUGH, , 
1,  IBMS SCARBOROUGH, , 
70,THE ESPLANADE, , 
14,RIDGEMOOR,AVE, 
120,WOODMOUNT,AVE, 
74,GLENGOWAN,RD, 
1263,WILSON,AVE, 
425,JANE,ST, 
34,AVONDALE,AVE, 
500,REXDALE,BLVD, 
6034,YONGE,ST, 
424,DANFORTH,AVE, 
500,REXDALE,BLVD, 
59,CHATSWORTH,DR, 
13,ROBERT,ST, 
1,IBMS WARD 42, , 
2437,FINCH,AVE,W
6,NOBLE,ST, 
1030,WILSON,AVE, 
214,QUEEN,ST,W
163,YONGE,BLVD, 
5485-5487,DUNDAS,ST,W
2919,LAKE SHORE,BLVD,W
31,ROBERT,ST, 
2625,WESTON,RD, 
17,PREAKNESS,DR, 
2291,ISLINGTON,AVE, 
313,BURNHAMTHORPE,RD, 
376,MORRISH,RD, 
3401,DUFFERIN,ST, 
29,BEECHWOOD,DR, 
29,BEECHWOOD,DR, 
161,SKYWAY,AVE, 
760,ROYAL YORK,RD, 
555,REXDALE,BLVD, 
40,BEVERLY HILLS,DR, 
1,IBMS WARD 42, , 
3076,BLOOR,ST,W
191,MORNINGVIEW,TRL, 
1,IBMS WARD 42, , 
1252,LAWRENCE,AVE,E
500,REXDALE,BLVD, 
25,THE WEST MALL, , 
5359,DUNDAS,ST,W
1,YORKDALE,RD, 
500,REXDALE,BLVD, 
3401,DUFFERIN,ST, 
3401,DUFFERIN,ST, 
1151,WESTON,RD, 
2267,ISLINGTON,AVE, 
600-604,ROGERS,RD, 
500,REXDALE,BLVD, 
295,BOGERT,AVE, 
3401,DUFFERIN,ST, 
1912,ST CLAIR,AVE,W
845,JANE,ST, 
140,LA ROSE,AVE, 
500,REXDALE,BLVD, 
3401,DUFFERIN,ST, 
3335,BLOOR,ST,W
3401,DUFFERIN,ST, 
3401,DUFFERIN,ST, 
3401,DUFFERIN,ST, 
2625,WESTON,RD, 
54,CAMERON,CRES, 
2,BALDWIN,ST, 
3401,DUFFERIN,ST, 
3401,DUFFERIN,ST, 
1874,WESTON,RD, 
2835,BATHURST,ST, 
3401,DUFFERIN,ST, 
37,HIGH POINT,RD, 
3401,DUFFERIN,ST, 
3401,DUFFERIN,ST, 
3401,DUFFERIN,ST, 
3401,DUFFERIN,ST, 
5485-5487,DUNDAS,ST,W
1,IBMS WARD 44, , 
2525,ST CLAIR,AVE,W
1,IBMS WARD 38, , 
169,JOHN,ST, 
3401,DUFFERIN,ST, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
1,IBMS WARD 44, , 
1,IBMS WARD 44, , 
3401,DUFFERIN,ST, 
3401,DUFFERIN,ST, 
3401,DUFFERIN,ST, 
3401,DUFFERIN,ST, 
3401,DUFFERIN,ST, 
3401,DUFFERIN,ST, 
250,UNIVERSITY,AVE, 
1145,ROSELAWN,AVE, 
1145,ROSELAWN,AVE, 
1145,ROSELAWN,AVE, 
1145,ROSELAWN,AVE, 
1145,ROSELAWN,AVE, 
1145,ROSELAWN,AVE, 
6212-6600,YONGE,ST, 
3401,DUFFERIN,ST, 
3401,DUFFERIN,ST, 
3401,DUFFERIN,ST, 
3401,DUFFERIN,ST, 
3401,DUFFERIN,ST, 
3401,DUFFERIN,ST, 
3401,DUFFERIN,ST, 
3401,DUFFERIN,ST, 
5485-5487,DUNDAS,ST,W
1,IBMS WARD 44, , 
3401,DUFFERIN,ST, 
63,HILLHOLM,RD, 
2,MUGGS ISLAND,PK, 
3401,DUFFERIN,ST, 
7,HARCROFT,RD, 
500,REXDALE,BLVD, 
38,LAVINIA,AVE, 
3401,DUFFERIN,ST, 
3401,DUFFERIN,ST, 
12,CASSELS,AVE, 
34,MOCCASIN,TRL, 
33,VESTA,DR, 
547,PARLIAMENT,ST, 
25,VICE REGENT,BLVD, 
24,WILLOWLEA,DR, 
144,OLD FOREST HILL,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
115,TORBARRIE,RD, 
1,IBMS WARD 42, , 
1,IBMS WARD 42, , 
104,ELM,AVE, 
261-293,PORT UNION,RD, 
65,SKYWAY,AVE, 
500,REXDALE,BLVD, 
25,VICE REGENT,BLVD, 
16,SILVER BIRCH,AVE, 
484,GLADSTONE,AVE, 
3401,DUFFERIN,ST, 
1736-1742,AVENUE,RD, 
16,NORTHRIDGE,AVE, 
3401,DUFFERIN,ST, 
4830,SHEPPARD,AVE,E
168,PARKHURST,BLVD, 
40,WILMAR,RD, 
500,REXDALE,BLVD, 
4,WRENSON,RD, 
500,REXDALE,BLVD, 
6120,YONGE,ST, 
3401,DUFFERIN,ST, 
26,MCGLASHAN,CRT, 
744,PHARMACY,AVE, 
3401,DUFFERIN,ST, 
90,CROATIA,ST, 
338,HOLLYWOOD,AVE, 
37,CAVENDISH,ST, 
743,PAPE,AVE, 
22,OAKFIELD,DR, 
392,NAIRN,AVE, 
3401,DUFFERIN,ST, 
2625,WESTON,RD, 
3401,DUFFERIN,ST, 
3401,DUFFERIN,ST, 
2625,WESTON,RD, 
500,REXDALE,BLVD, 
2,GLENDARLING,RD, 
12,THE BRIDLE,PATH, 
5-36,NEEDLE FIRWAY, , 
130,ADELAIDE,ST,W
120,ST PATRICK,ST, 
500,REXDALE,BLVD, 
500,REXDALE,BLVD, 
3401,DUFFERIN,ST, 
500,REXDALE,BLVD, 
149,KENILWORTH,AVE, 
153,KENILWORTH,AVE, 
155,KENILWORTH,AVE, 
3401,DUFFERIN,ST, 
3401,DUFFERIN,ST, 
3401,DUFFERIN,ST, 
95,OLIVE,AVE, 
6,NOBLE,ST, 
10,HIGH POINT,RD, 
