Permit_Num,Permit_Type,Structure_Type,Work,Street_Num,Street_Name,Street_Type,Street_Direction,Postal,Geo_Id,Ward_Grid,Application_Date,Issued_Date,Completed_Date,Status,Description,Est_Const_Cost
00 162754 CMB,Non-Residential Building Permit,Elementary School,Addition/Alteration to Existing Building,180,SHAW,ST, ,M6J,866475,S1906,2001-05-10,2001-06-20,2016-04-13,Closed,"alter bp 00-162754-01, by ugrading lockers in ground & 2nd floor corridor
",0
00 166202 CMB,Non-Residential Building Permit,Secondary School,Alteration to Existing Building,171,AVONDALE,AVE, ,M2N,485329,N2306,2000-06-27,2000-07-20,2016-10-21,Closed,STAIR ENCLOSURES & UPGRADES 6X20 & 6 X 4.,75000
00 325269 CMB,Non-Residential Building Permit,Hospital,Alteration to Existing Building,555,FINCH,AVE,W,M2R,13501524,N1003,2000-08-04,2000-08-30,2016-12-06,Closed,INTERIOR ALTERATION TO NORTH YORK GENERAL HOSPITAL ON THE 2ND & 5TH FLOOR.,100000
00 363603 CMB,Non-Residential Building Permit,Place of Worship,Alteration to Existing Building,2420,DUFFERIN,ST, ,M6E,9655860,N1505,2000-12-21,2001-01-25,2016-12-06,Closed,interior renovations for a new elevator,5000
02 108909 BLD,Building Additions/Alterations,College/Trade/Tech School/Training Cent.,Interior Alterations,3368,YONGE,ST, ,M4N,7793320,N1603,2007-12-19,2008-01-08,2016-10-21,Closed,Revise structural members - Divide existing retail space into 2 leasable shells and structural remediation of first floor framing ,0
02 113930 BLD,Building Additions/Alterations,Place of Worship,Interior Alterations,650,MCNICOLL,AVE, ,M2H,11484475,N2404,2002-02-27,2002-06-03,2016-07-14,Closed,INTERIOR ALTERATIONS TO EXISTING PLACE OF WORSHIP.,509500
02 118335 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,3,ELM,AVE, ,M4W,7950620,S2704,2002-03-14,2002-03-21,2016-07-25,Closed,"renovation to bathroom, kitchen & new sleeping area  (rear building)-for day care fac.",10000
02 143413 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,116,FERMANAGH,AVE, ,M6R,804845,S1403,2002-06-06,2002-06-21,2016-10-14,Closed,"make interior alterations to 2nd floor in rooms 214, 213 and 212 in Building ""A"" for new library.  ",80000
02 144715 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,171,AVONDALE,AVE, ,M2N,485329,N2306,2002-06-11,2002-06-11,2016-10-21,Closed,CLASSROOM RENOVATION,110000
04 128066 BLD,Non-Residential Building Permit,Place of Worship,New Building,161,SKYWAY,AVE, ,   ,20055304,W0206,2004-04-26,2004-10-13,2016-12-15,Closed,New Place of Worship with clestory and mezzanine.,2000000
06 124225 BLD,Building Additions/Alterations,Secondary School,Interior Alterations,90,CROATIA,ST, ,M6H,788987,S1804,2006-04-07,2006-04-13,2016-02-01,Closed,Proposed interior alteration to portions of 2nd and third floor of Secondary School,550000
07 110700 BLD,Building Additions/Alterations,Elementary School,Interior Alterations,270,FIRGROVE,CRES, ,M3N,3062806,W0706,2007-02-21,2007-03-27,2016-12-20,Closed,interior alters to main floor kitchen,175000
07 132792 BLD,New Building,Elementary School,New Building,33,MALLARD,RD, ,M3B,11541969,N3403,2011-03-11,2011-04-15,2016-08-18,Closed,3 storey Christian school and daycare centre with 1 level of underground parking,0
