Age_Key,Age_Range
AG1,Total - Age
AG2,0 to 4 years
AG3,5 to 9 years
AG4,10 to 14 years
AG5,15 to 19 years
AG6,20 to 24 years
AG7,25 to 29 years
AG8,30 to 34 years
AG9,35 to 39 years
AG10,40 to 44 years
AG11,45 to 49 years
AG12,50 to 54 years
AG13,55 to 59 years
AG14,60 to 64 years
AG15,65 to 69 years
AG16,70 to 74 years
AG17,75 to 79 years
AG18,80 to 84 years
AG19,85 to 89 years
AG20,90 years and over
AG21,Total - Age
AG22,0 to 4 years
AG23,5 to 9 years
AG24,10 to 14 years
AG25,15 to 19 years
AG26,20 to 24 years
AG27,25 to 29 years
AG28,30 to 34 years
AG29,35 to 39 years
AG30,40 to 44 years
AG31,45 to 49 years
AG32,50 to 54 years
AG33,55 to 59 years
AG34,60 to 64 years
AG35,65 to 69 years
AG36,70 to 74 years
AG37,75 to 79 years
AG38,80 to 84 years
AG39,85 to 89 years
AG40,90 years and over
AG41,Total - Age
AG42,0 to 4 years
AG43,5 to 9 years
AG44,10 to 14 years
AG45,15 to 19 years
AG46,20 to 24 years
AG47,25 to 29 years
AG48,30 to 34 years
AG49,35 to 39 years
AG50,40 to 44 years
AG51,45 to 49 years
AG52,50 to 54 years
AG53,55 to 59 years
AG54,60 to 64 years
AG55,65 to 69 years
AG56,70 to 74 years
AG57,75 to 79 years
AG58,80 to 84 years
AG59,85 to 89 years
AG60,90 years and over
AG61,Total - Age
AG62,0 to 4 years
AG63,5 to 9 years
AG64,10 to 14 years
AG65,15 to 19 years
AG66,20 to 24 years
AG67,25 to 29 years
AG68,30 to 34 years
AG69,35 to 39 years
AG70,40 to 44 years
AG71,45 to 49 years
AG72,50 to 54 years
AG73,55 to 59 years
AG74,60 to 64 years
AG75,65 to 69 years
AG76,70 to 74 years
AG77,75 to 79 years
AG78,80 to 84 years
AG79,85 to 89 years
AG80,90 years and over
AG81,Total - Age
AG82,0 to 4 years
AG83,5 to 9 years
AG84,10 to 14 years
AG85,15 to 19 years
AG86,20 to 24 years
AG87,25 to 29 years
AG88,30 to 34 years
AG89,35 to 39 years
AG90,40 to 44 years
AG91,45 to 49 years
AG92,50 to 54 years
AG93,55 to 59 years
AG94,60 to 64 years
AG95,65 to 69 years
AG96,70 to 74 years
AG97,75 to 79 years
AG98,80 to 84 years
AG99,85 to 89 years
AG100,90 years and over
AG101,Total - Age
AG102,0 to 4 years
AG103,5 to 9 years
AG104,10 to 14 years
AG105,15 to 19 years
AG106,20 to 24 years
AG107,25 to 29 years
AG108,30 to 34 years
AG109,35 to 39 years
AG110,40 to 44 years
AG111,45 to 49 years
AG112,50 to 54 years
AG113,55 to 59 years
AG114,60 to 64 years
AG115,65 to 69 years
AG116,70 to 74 years
AG117,75 to 79 years
AG118,80 to 84 years
AG119,85 to 89 years
AG120,90 years and over
AG121,Total - Age
AG122,0 to 4 years
AG123,5 to 9 years
AG124,10 to 14 years
AG125,15 to 19 years
AG126,20 to 24 years
AG127,25 to 29 years
AG128,30 to 34 years
AG129,35 to 39 years
AG130,40 to 44 years
AG131,45 to 49 years
AG132,50 to 54 years
AG133,55 to 59 years
AG134,60 to 64 years
AG135,65 to 69 years
AG136,70 to 74 years
AG137,75 to 79 years
AG138,80 to 84 years
AG139,85 to 89 years
AG140,90 years and over
AG141,Total - Age
AG142,0 to 4 years
AG143,5 to 9 years
AG144,10 to 14 years
AG145,15 to 19 years
AG146,20 to 24 years
AG147,25 to 29 years
AG148,30 to 34 years
AG149,35 to 39 years
AG150,40 to 44 years
AG151,45 to 49 years
AG152,50 to 54 years
AG153,55 to 59 years
AG154,60 to 64 years
AG155,65 to 69 years
AG156,70 to 74 years
AG157,75 to 79 years
AG158,80 to 84 years
AG159,85 to 89 years
AG160,90 years and over
AG161,Total - Age
AG162,0 to 4 years
AG163,5 to 9 years
AG164,10 to 14 years
AG165,15 to 19 years
AG166,20 to 24 years
AG167,25 to 29 years
AG168,30 to 34 years
AG169,35 to 39 years
AG170,40 to 44 years
AG171,45 to 49 years
AG172,50 to 54 years
AG173,55 to 59 years
AG174,60 to 64 years
AG175,65 to 69 years
AG176,70 to 74 years
AG177,75 to 79 years
AG178,80 to 84 years
AG179,85 to 89 years
AG180,90 years and over
AG181,Total - Age
AG182,0 to 4 years
AG183,5 to 9 years
AG184,10 to 14 years
AG185,15 to 19 years
AG186,20 to 24 years
AG187,25 to 29 years
AG188,30 to 34 years
AG189,35 to 39 years
AG190,40 to 44 years
AG191,45 to 49 years
AG192,50 to 54 years
AG193,55 to 59 years
AG194,60 to 64 years
AG195,65 to 69 years
AG196,70 to 74 years
AG197,75 to 79 years
AG198,80 to 84 years
AG199,85 to 89 years
AG200,90 years and over
AG201,Total - Age
AG202,0 to 4 years
AG203,5 to 9 years
AG204,10 to 14 years
AG205,15 to 19 years
AG206,20 to 24 years
AG207,25 to 29 years
AG208,30 to 34 years
AG209,35 to 39 years
AG210,40 to 44 years
AG211,45 to 49 years
AG212,50 to 54 years
AG213,55 to 59 years
AG214,60 to 64 years
AG215,65 to 69 years
AG216,70 to 74 years
AG217,75 to 79 years
AG218,80 to 84 years
AG219,85 to 89 years
AG220,90 years and over
AG221,Total - Age
AG222,0 to 4 years
AG223,5 to 9 years
AG224,10 to 14 years
AG225,15 to 19 years
AG226,20 to 24 years
AG227,25 to 29 years
AG228,30 to 34 years
AG229,35 to 39 years
AG230,40 to 44 years
AG231,45 to 49 years
AG232,50 to 54 years
AG233,55 to 59 years
AG234,60 to 64 years
