Permit_Key,Permit_Num,Permit_Type,Structure_Type,Work,Street_Num,Street_Name,Street_Type,Street_Direction,Postal,Geo_Id,Ward_Grid,Application_Date,Issued_Date,Completed_Date,Status,Description,Address,Coordinates,Application_Date_Key,Issued_Date_Key,Completed_Date_Key
1,01 185413 BLD,Building Additions/Alterations,Parking Garage,Interior Alterations,20,THE QUEENSWAY, , ,M6R,8855505,S1404,2001-10-12,2001-11-08,2016-01-26,Closed,Demolish and reconstruct existing steel/concrete vehicle maintenance platform in existing TTC street car maintenance workshop.  Also replace existing sand storage box with new steel container on reinforced concrete foundation in YARD AREA of the TTC streetcar garage,"20,THE QUEENSWAY,    M6R",POINT (-79.448028 43.639437),740,767,5959
2,04 167768 BLD,Building Additions/Alterations,Apartment Building,Interior Alterations,600-604,ROGERS,RD, ,M6M,14189823,W1209,2004-08-20,2004-11-09,2016-12-15,Closed,Conversion of existing ground floor commercial floor space into 7 apartment units to Senior Citizen - Non Profit Housing.,"600-604,ROGERS,RD   M6M",POINT (-79.472849 43.682202),1783,1864,6283
3,06 176865 BLD,New Houses,SFD - Detached,New Building,12,THE BRIDLE,PATH, ,M2L,11541627,N2504,2006-09-19,2006-10-06,2016-10-07,Closed,Construct a new two storey single family dwelling,"12,THE BRIDLE,PATH   M2L",POINT (-79.380299 43.739285),2543,2560,6214
4,07 132494 BLD,New Houses,Stacked Townhouses,New Building,651,WARDEN,AVE, ,M1L,395724,E3507,2007-03-30,2010-06-16,2016-09-21,Closed,to construct stacked townhouses Block E (12 units),"651,WARDEN,AVE   M1L",POINT (-79.276472 43.701708),2735,3909,6198
5,07 244088 BLD,New Houses,SFD - Detached,New Building,514,VESTA,DR, ,M5P,878424,S2103,2007-07-17,2007-08-31,2016-01-11,Closed,"Proposal to construct a new 2 sty SFD.  See PAL 07 109336, Demo 07 244091, and C.O.A - A0202/07TEY.","514,VESTA,DR   M5P",POINT (-79.420906 43.701265),2844,2889,5944
6,07 266299 BLD,New Houses,SFD - Detached,New Building,84,KINGSWAY,CRES, ,M8X,10085801,W0503,2007-10-01,2007-11-19,2016-04-27,Closed,erect a new two storey dwelling as approved by c/o/a 533/06,"84,KINGSWAY,CRES   M8X",POINT (-79.503256 43.658356),2920,2969,6051
7,08 173856 B05,New Houses,Stacked Townhouses,New Building,2230,GERRARD,ST,E,###,14650247,S3203,2008-06-23,2009-05-13,2016-07-27,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING C NORTH (UNITS 41-50) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE","2230,GERRARD,ST E ###",POINT (-79.298143 43.68495),3186,3510,6142
8,08 173856 B07,New Houses,Stacked Townhouses,New Building,2230,GERRARD,ST,E,###,14650247,S3203,2008-06-23,2009-05-13,2016-07-27,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING D SOUTH (UNITS 61-70) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE","2230,GERRARD,ST E ###",POINT (-79.298143 43.68495),3186,3510,6142
9,08 173856 B08,New Houses,Stacked Townhouses,New Building,2230,GERRARD,ST,E,###,14650247,S3203,2008-06-23,2009-05-13,2016-10-18,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING D NORTH (UNITS 71-80) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE","2230,GERRARD,ST E ###",POINT (-79.298143 43.68495),3186,3510,6225
10,08 173856 B09,New Houses,Stacked Townhouses,New Building,2230,GERRARD,ST,E,###,14650247,S3203,2008-06-23,2009-05-13,2016-09-21,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING E NORTH (UNITS 81-90) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE","2230,GERRARD,ST E ###",POINT (-79.298143 43.68495),3186,3510,6198
11,08 173856 B10,New Houses,Stacked Townhouses,New Building,2230,GERRARD,ST,E,###,14650247,S3203,2008-06-23,2009-05-13,2016-09-21,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING E SOUTH (UNITS 91-100) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE","2230,GERRARD,ST E ###",POINT (-79.298143 43.68495),3186,3510,6198
12,08 173856 B11,New Houses,Stacked Townhouses,New Building,2230,GERRARD,ST,E,###,14650247,S3203,2008-06-23,2009-05-13,2016-09-20,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING F SOUTH (UNITS 101-110) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE","2230,GERRARD,ST E ###",POINT (-79.298143 43.68495),3186,3510,6197
