Date_Key,Date,Year,Month,Day,Quarter,WeekOfYear,DayOfWeek,DayName,IsWeekend
1,1999-10-04,1999,10,4,4,40,0,Monday,0
2,1999-10-05,1999,10,5,4,40,1,Tuesday,0
3,1999-10-06,1999,10,6,4,40,2,Wednesday,0
4,1999-10-07,1999,10,7,4,40,3,Thursday,0
5,1999-10-08,1999,10,8,4,40,4,Friday,0
6,1999-10-09,1999,10,9,4,40,5,Saturday,1
7,1999-10-10,1999,10,10,4,40,6,Sunday,1
8,1999-10-11,1999,10,11,4,41,0,Monday,0
9,1999-10-12,1999,10,12,4,41,1,Tuesday,0
10,1999-10-13,1999,10,13,4,41,2,Wednesday,0
11,1999-10-14,1999,10,14,4,41,3,Thursday,0
12,1999-10-15,1999,10,15,4,41,4,Friday,0
13,1999-10-16,1999,10,16,4,41,5,Saturday,1
14,1999-10-17,1999,10,17,4,41,6,Sunday,1
15,1999-10-18,1999,10,18,4,42,0,Monday,0
16,1999-10-19,1999,10,19,4,42,1,Tuesday,0
17,1999-10-20,1999,10,20,4,42,2,Wednesday,0
18,1999-10-21,1999,10,21,4,42,3,Thursday,0
19,1999-10-22,1999,10,22,4,42,4,Friday,0
20,1999-10-23,1999,10,23,4,42,5,Saturday,1
21,1999-10-24,1999,10,24,4,42,6,Sunday,1
22,1999-10-25,1999,10,25,4,43,0,Monday,0
23,1999-10-26,1999,10,26,4,43,1,Tuesday,0
24,1999-10-27,1999,10,27,4,43,2,Wednesday,0
25,1999-10-28,1999,10,28,4,43,3,Thursday,0
26,1999-10-29,1999,10,29,4,43,4,Friday,0
27,1999-10-30,1999,10,30,4,43,5,Saturday,1
28,1999-10-31,1999,10,31,4,43,6,Sunday,1
29,1999-11-01,1999,11,1,4,44,0,Monday,0
30,1999-11-02,1999,11,2,4,44,1,Tuesday,0
31,1999-11-03,1999,11,3,4,44,2,Wednesday,0
32,1999-11-04,1999,11,4,4,44,3,Thursday,0
33,1999-11-05,1999,11,5,4,44,4,Friday,0
34,1999-11-06,1999,11,6,4,44,5,Saturday,1
35,1999-11-07,1999,11,7,4,44,6,Sunday,1
36,1999-11-08,1999,11,8,4,45,0,Monday,0
37,1999-11-09,1999,11,9,4,45,1,Tuesday,0
38,1999-11-10,1999,11,10,4,45,2,Wednesday,0
39,1999-11-11,1999,11,11,4,45,3,Thursday,0
40,1999-11-12,1999,11,12,4,45,4,Friday,0
41,1999-11-13,1999,11,13,4,45,5,Saturday,1
42,1999-11-14,1999,11,14,4,45,6,Sunday,1
43,1999-11-15,1999,11,15,4,46,0,Monday,0
44,1999-11-16,1999,11,16,4,46,1,Tuesday,0
45,1999-11-17,1999,11,17,4,46,2,Wednesday,0
46,1999-11-18,1999,11,18,4,46,3,Thursday,0
47,1999-11-19,1999,11,19,4,46,4,Friday,0
48,1999-11-20,1999,11,20,4,46,5,Saturday,1
49,1999-11-21,1999,11,21,4,46,6,Sunday,1
50,1999-11-22,1999,11,22,4,47,0,Monday,0
51,1999-11-23,1999,11,23,4,47,1,Tuesday,0
52,1999-11-24,1999,11,24,4,47,2,Wednesday,0
53,1999-11-25,1999,11,25,4,47,3,Thursday,0
54,1999-11-26,1999,11,26,4,47,4,Friday,0
55,1999-11-27,1999,11,27,4,47,5,Saturday,1
56,1999-11-28,1999,11,28,4,47,6,Sunday,1
57,1999-11-29,1999,11,29,4,48,0,Monday,0
58,1999-11-30,1999,11,30,4,48,1,Tuesday,0
59,1999-12-01,1999,12,1,4,48,2,Wednesday,0
60,1999-12-02,1999,12,2,4,48,3,Thursday,0
61,1999-12-03,1999,12,3,4,48,4,Friday,0
62,1999-12-04,1999,12,4,4,48,5,Saturday,1
63,1999-12-05,1999,12,5,4,48,6,Sunday,1
64,1999-12-06,1999,12,6,4,49,0,Monday,0
65,1999-12-07,1999,12,7,4,49,1,Tuesday,0
66,1999-12-08,1999,12,8,4,49,2,Wednesday,0
67,1999-12-09,1999,12,9,4,49,3,Thursday,0
68,1999-12-10,1999,12,10,4,49,4,Friday,0
69,1999-12-11,1999,12,11,4,49,5,Saturday,1
70,1999-12-12,1999,12,12,4,49,6,Sunday,1
71,1999-12-13,1999,12,13,4,50,0,Monday,0
72,1999-12-14,1999,12,14,4,50,1,Tuesday,0
73,1999-12-15,1999,12,15,4,50,2,Wednesday,0
74,1999-12-16,1999,12,16,4,50,3,Thursday,0
75,1999-12-17,1999,12,17,4,50,4,Friday,0
76,1999-12-18,1999,12,18,4,50,5,Saturday,1
77,1999-12-19,1999,12,19,4,50,6,Sunday,1
78,1999-12-20,1999,12,20,4,51,0,Monday,0
79,1999-12-21,1999,12,21,4,51,1,Tuesday,0
80,1999-12-22,1999,12,22,4,51,2,Wednesday,0
81,1999-12-23,1999,12,23,4,51,3,Thursday,0
82,1999-12-24,1999,12,24,4,51,4,Friday,0
83,1999-12-25,1999,12,25,4,51,5,Saturday,1
84,1999-12-26,1999,12,26,4,51,6,Sunday,1
85,1999-12-27,1999,12,27,4,52,0,Monday,0
86,1999-12-28,1999,12,28,4,52,1,Tuesday,0
87,1999-12-29,1999,12,29,4,52,2,Wednesday,0
88,1999-12-30,1999,12,30,4,52,3,Thursday,0
89,1999-12-31,1999,12,31,4,52,4,Friday,0
90,2000-01-01,2000,1,1,1,52,5,Saturday,1
91,2000-01-02,2000,1,2,1,52,6,Sunday,1
92,2000-01-03,2000,1,3,1,1,0,Monday,0
93,2000-01-04,2000,1,4,1,1,1,Tuesday,0
94,2000-01-05,2000,1,5,1,1,2,Wednesday,0
95,2000-01-06,2000,1,6,1,1,3,Thursday,0
96,2000-01-07,2000,1,7,1,1,4,Friday,0
97,2000-01-08,2000,1,8,1,1,5,Saturday,1
98,2000-01-09,2000,1,9,1,1,6,Sunday,1
99,2000-01-10,2000,1,10,1,2,0,Monday,0
100,2000-01-11,2000,1,11,1,2,1,Tuesday,0
101,2000-01-12,2000,1,12,1,2,2,Wednesday,0
102,2000-01-13,2000,1,13,1,2,3,Thursday,0
103,2000-01-14,2000,1,14,1,2,4,Friday,0
104,2000-01-15,2000,1,15,1,2,5,Saturday,1
105,2000-01-16,2000,1,16,1,2,6,Sunday,1
106,2000-01-17,2000,1,17,1,3,0,Monday,0
107,2000-01-18,2000,1,18,1,3,1,Tuesday,0
108,2000-01-19,2000,1,19,1,3,2,Wednesday,0
109,2000-01-20,2000,1,20,1,3,3,Thursday,0
110,2000-01-21,2000,1,21,1,3,4,Friday,0
111,2000-01-22,2000,1,22,1,3,5,Saturday,1
112,2000-01-23,2000,1,23,1,3,6,Sunday,1
113,2000-01-24,2000,1,24,1,4,0,Monday,0
114,2000-01-25,2000,1,25,1,4,1,Tuesday,0
115,2000-01-26,2000,1,26,1,4,2,Wednesday,0
116,2000-01-27,2000,1,27,1,4,3,Thursday,0
117,2000-01-28,2000,1,28,1,4,4,Friday,0
118,2000-01-29,2000,1,29,1,4,5,Saturday,1
119,2000-01-30,2000,1,30,1,4,6,Sunday,1
120,2000-01-31,2000,1,31,1,5,0,Monday,0
121,2000-02-01,2000,2,1,1,5,1,Tuesday,0
122,2000-02-02,2000,2,2,1,5,2,Wednesday,0
123,2000-02-03,2000,2,3,1,5,3,Thursday,0
124,2000-02-04,2000,2,4,1,5,4,Friday,0
125,2000-02-05,2000,2,5,1,5,5,Saturday,1
126,2000-02-06,2000,2,6,1,5,6,Sunday,1
127,2000-02-07,2000,2,7,1,6,0,Monday,0
128,2000-02-08,2000,2,8,1,6,1,Tuesday,0
129,2000-02-09,2000,2,9,1,6,2,Wednesday,0
130,2000-02-10,2000,2,10,1,6,3,Thursday,0
131,2000-02-11,2000,2,11,1,6,4,Friday,0
132,2000-02-12,2000,2,12,1,6,5,Saturday,1
133,2000-02-13,2000,2,13,1,6,6,Sunday,1
134,2000-02-14,2000,2,14,1,7,0,Monday,0
135,2000-02-15,2000,2,15,1,7,1,Tuesday,0
136,2000-02-16,2000,2,16,1,7,2,Wednesday,0
137,2000-02-17,2000,2,17,1,7,3,Thursday,0
138,2000-02-18,2000,2,18,1,7,4,Friday,0
139,2000-02-19,2000,2,19,1,7,5,Saturday,1
140,2000-02-20,2000,2,20,1,7,6,Sunday,1
141,2000-02-21,2000,2,21,1,8,0,Monday,0
142,2000-02-22,2000,2,22,1,8,1,Tuesday,0
143,2000-02-23,2000,2,23,1,8,2,Wednesday,0
144,2000-02-24,2000,2,24,1,8,3,Thursday,0
145,2000-02-25,2000,2,25,1,8,4,Friday,0
146,2000-02-26,2000,2,26,1,8,5,Saturday,1
147,2000-02-27,2000,2,27,1,8,6,Sunday,1
148,2000-02-28,2000,2,28,1,9,0,Monday,0
149,2000-02-29,2000,2,29,1,9,1,Tuesday,0
150,2000-03-01,2000,3,1,1,9,2,Wednesday,0
151,2000-03-02,2000,3,2,1,9,3,Thursday,0
152,2000-03-03,2000,3,3,1,9,4,Friday,0
153,2000-03-04,2000,3,4,1,9,5,Saturday,1
154,2000-03-05,2000,3,5,1,9,6,Sunday,1
155,2000-03-06,2000,3,6,1,10,0,Monday,0
156,2000-03-07,2000,3,7,1,10,1,Tuesday,0
157,2000-03-08,2000,3,8,1,10,2,Wednesday,0
158,2000-03-09,2000,3,9,1,10,3,Thursday,0
159,2000-03-10,2000,3,10,1,10,4,Friday,0
160,2000-03-11,2000,3,11,1,10,5,Saturday,1
161,2000-03-12,2000,3,12,1,10,6,Sunday,1
162,2000-03-13,2000,3,13,1,11,0,Monday,0
163,2000-03-14,2000,3,14,1,11,1,Tuesday,0
164,2000-03-15,2000,3,15,1,11,2,Wednesday,0
165,2000-03-16,2000,3,16,1,11,3,Thursday,0
166,2000-03-17,2000,3,17,1,11,4,Friday,0
