Employment_Key,Employment
EM1,All occupations
EM2,Management occupations
EM3,"Business, finance and administration occupations"
EM4,Natural and applied sciences and related occupations
EM5,Health occupations
EM6,"Occupations in education, law and social, community and government services"
EM7,"Occupations in art, culture, recreation and sport"
EM8,Sales and service occupations
EM9,"Trades, transport and equipment operators and related occupations"
EM10,"Natural resources, agriculture and related production occupations"
EM11,Occupations in manufacturing and utilities
EM12,All occupations
EM13,Management occupations
EM14,"Business, finance and administration occupations"
EM15,Natural and applied sciences and related occupations
EM16,Health occupations
EM17,"Occupations in education, law and social, community and government services"
EM18,"Occupations in art, culture, recreation and sport"
EM19,Sales and service occupations
EM20,"Trades, transport and equipment operators and related occupations"
EM21,"Natural resources, agriculture and related production occupations"
EM22,Occupations in manufacturing and utilities
EM23,All occupations
EM24,Management occupations
EM25,"Business, finance and administration occupations"
EM26,Natural and applied sciences and related occupations
EM27,Health occupations
EM28,"Occupations in education, law and social, community and government services"
EM29,"Occupations in art, culture, recreation and sport"
EM30,Sales and service occupations
EM31,"Trades, transport and equipment operators and related occupations"
EM32,"Natural resources, agriculture and related production occupations"
EM33,Occupations in manufacturing and utilities
EM34,All occupations
EM35,Management occupations
EM36,"Business, finance and administration occupations"
EM37,Natural and applied sciences and related occupations
EM38,Health occupations
EM39,"Occupations in education, law and social, community and government services"
EM40,"Occupations in art, culture, recreation and sport"
EM41,Sales and service occupations
EM42,"Trades, transport and equipment operators and related occupations"
EM43,"Natural resources, agriculture and related production occupations"
EM44,Occupations in manufacturing and utilities
EM45,All occupations
EM46,Management occupations
EM47,"Business, finance and administration occupations"
EM48,Natural and applied sciences and related occupations
EM49,Health occupations
EM50,"Occupations in education, law and social, community and government services"
EM51,"Occupations in art, culture, recreation and sport"
EM52,Sales and service occupations
EM53,"Trades, transport and equipment operators and related occupations"
EM54,"Natural resources, agriculture and related production occupations"
EM55,Occupations in manufacturing and utilities
EM56,All occupations
EM57,Management occupations
EM58,"Business, finance and administration occupations"
EM59,Natural and applied sciences and related occupations
EM60,Health occupations
EM61,"Occupations in education, law and social, community and government services"
EM62,"Occupations in art, culture, recreation and sport"
EM63,Sales and service occupations
EM64,"Trades, transport and equipment operators and related occupations"
EM65,"Natural resources, agriculture and related production occupations"
EM66,Occupations in manufacturing and utilities
EM67,All occupations
EM68,Management occupations
EM69,"Business, finance and administration occupations"
EM70,Natural and applied sciences and related occupations
EM71,Health occupations
EM72,"Occupations in education, law and social, community and government services"
EM73,"Occupations in art, culture, recreation and sport"
EM74,Sales and service occupations
EM75,"Trades, transport and equipment operators and related occupations"
EM76,"Natural resources, agriculture and related production occupations"
EM77,Occupations in manufacturing and utilities
EM78,All occupations
EM79,Management occupations
EM80,"Business, finance and administration occupations"
EM81,Natural and applied sciences and related occupations
EM82,Health occupations
EM83,"Occupations in education, law and social, community and government services"
EM84,"Occupations in art, culture, recreation and sport"
EM85,Sales and service occupations
EM86,"Trades, transport and equipment operators and related occupations"
EM87,"Natural resources, agriculture and related production occupations"
EM88,Occupations in manufacturing and utilities
EM89,All occupations
EM90,Management occupations
EM91,"Business, finance and administration occupations"
EM92,Natural and applied sciences and related occupations
EM93,Health occupations
EM94,"Occupations in education, law and social, community and government services"
EM95,"Occupations in art, culture, recreation and sport"
EM96,Sales and service occupations
EM97,"Trades, transport and equipment operators and related occupations"
EM98,"Natural resources, agriculture and related production occupations"
EM99,Occupations in manufacturing and utilities
EM100,All occupations
EM101,Management occupations
EM102,"Business, finance and administration occupations"
EM103,Natural and applied sciences and related occupations
EM104,Health occupations
EM105,"Occupations in education, law and social, community and government services"
EM106,"Occupations in art, culture, recreation and sport"
EM107,Sales and service occupations
EM108,"Trades, transport and equipment operators and related occupations"
EM109,"Natural resources, agriculture and related production occupations"
EM110,Occupations in manufacturing and utilities
EM111,All occupations
EM112,Management occupations
EM113,"Business, finance and administration occupations"
EM114,Natural and applied sciences and related occupations
EM115,Health occupations
EM116,"Occupations in education, law and social, community and government services"
EM117,"Occupations in art, culture, recreation and sport"
EM118,Sales and service occupations
EM119,"Trades, transport and equipment operators and related occupations"
EM120,"Natural resources, agriculture and related production occupations"
EM121,Occupations in manufacturing and utilities
EM122,All occupations
EM123,Management occupations
EM124,"Business, finance and administration occupations"
EM125,Natural and applied sciences and related occupations
EM126,Health occupations
EM127,"Occupations in education, law and social, community and government services"
EM128,"Occupations in art, culture, recreation and sport"
EM129,Sales and service occupations
EM130,"Trades, transport and equipment operators and related occupations"
EM131,"Natural resources, agriculture and related production occupations"
EM132,Occupations in manufacturing and utilities
EM133,All occupations
EM134,Management occupations
EM135,"Business, finance and administration occupations"
EM136,Natural and applied sciences and related occupations
EM137,Health occupations
EM138,"Occupations in education, law and social, community and government services"
EM139,"Occupations in art, culture, recreation and sport"
EM140,Sales and service occupations
EM141,"Trades, transport and equipment operators and related occupations"
EM142,"Natural resources, agriculture and related production occupations"
EM143,Occupations in manufacturing and utilities
EM144,All occupations
EM145,Management occupations
EM146,"Business, finance and administration occupations"
EM147,Natural and applied sciences and related occupations
EM148,Health occupations
EM149,"Occupations in education, law and social, community and government services"
EM150,"Occupations in art, culture, recreation and sport"
EM151,Sales and service occupations
EM152,"Trades, transport and equipment operators and related occupations"
EM153,"Natural resources, agriculture and related production occupations"
EM154,Occupations in manufacturing and utilities
EM155,All occupations
EM156,Management occupations
EM157,"Business, finance and administration occupations"
EM158,Natural and applied sciences and related occupations
EM159,Health occupations
EM160,"Occupations in education, law and social, community and government services"
EM161,"Occupations in art, culture, recreation and sport"
EM162,Sales and service occupations
EM163,"Trades, transport and equipment operators and related occupations"
EM164,"Natural resources, agriculture and related production occupations"
EM165,Occupations in manufacturing and utilities
EM166,All occupations
EM167,Management occupations
EM168,"Business, finance and administration occupations"
EM169,Natural and applied sciences and related occupations
EM170,Health occupations
EM171,"Occupations in education, law and social, community and government services"
EM172,"Occupations in art, culture, recreation and sport"
EM173,Sales and service occupations
EM174,"Trades, transport and equipment operators and related occupations"
EM175,"Natural resources, agriculture and related production occupations"
EM176,Occupations in manufacturing and utilities
EM177,All occupations
EM178,Management occupations
EM179,"Business, finance and administration occupations"
EM180,Natural and applied sciences and related occupations
EM181,Health occupations
EM182,"Occupations in education, law and social, community and government services"
EM183,"Occupations in art, culture, recreation and sport"
EM184,Sales and service occupations
EM185,"Trades, transport and equipment operators and related occupations"
EM186,"Natural resources, agriculture and related production occupations"
EM187,Occupations in manufacturing and utilities
EM188,All occupations
EM189,Management occupations
EM190,"Business, finance and administration occupations"
EM191,Natural and applied sciences and related occupations
EM192,Health occupations
EM193,"Occupations in education, law and social, community and government services"
EM194,"Occupations in art, culture, recreation and sport"
EM195,Sales and service occupations
EM196,"Trades, transport and equipment operators and related occupations"
EM197,"Natural resources, agriculture and related production occupations"
EM198,Occupations in manufacturing and utilities
EM199,All occupations
EM200,Management occupations
EM201,"Business, finance and administration occupations"
EM202,Natural and applied sciences and related occupations
EM203,Health occupations
EM204,"Occupations in education, law and social, community and government services"
EM205,"Occupations in art, culture, recreation and sport"
EM206,Sales and service occupations
EM207,"Trades, transport and equipment operators and related occupations"
