Ethnocultural_Key,Ethnoculture
ETH1,Total Ethnic Origin
ETH2,North American Aboriginal origins
ETH3,First Nations (North American Indian)
ETH4,Inuit
ETH5,Métis
ETH6,Other North American origins
ETH7,Acadian
ETH8,American
ETH9,Canadian
ETH10,New Brunswicker
ETH11,Newfoundlander
ETH12,Nova Scotian
ETH13,Ontarian
ETH14,Québécois
ETH15,"Other North American origins, n.i.e."
ETH16,European origins
ETH17,British Isles origins
ETH18,Channel Islander
ETH19,Cornish
ETH20,English
ETH21,Irish
ETH22,Manx
ETH23,Scottish
ETH24,Welsh
ETH25,"British Isles origins, n.i.e."
ETH26,French origins
ETH27,Alsatian
ETH28,Breton
ETH29,Corsican
ETH30,French
ETH31,Western European origins (except French origins)
ETH32,Austrian
ETH33,Bavarian
ETH34,Belgian
ETH35,Dutch
ETH36,Flemish
ETH37,Frisian
ETH38,German
ETH39,Luxembourger
ETH40,Swiss
ETH41,"Western European origins, n.i.e."
ETH42,Northern European origins (except British Isles origins)
ETH43,Danish
ETH44,Finnish
ETH45,Icelandic
ETH46,Norwegian
ETH47,Swedish
ETH48,"Northern European origins, n.i.e."
ETH49,Eastern European origins
ETH50,Bulgarian
ETH51,Byelorussian
ETH52,Czech
ETH53,"Czechoslovakian, n.o.s."
ETH54,Estonian
ETH55,Hungarian
ETH56,Latvian
ETH57,Lithuanian
ETH58,Moldovan
ETH59,Polish
ETH60,Romanian
ETH61,Russian
ETH62,Slovak
ETH63,Ukrainian
ETH64,"Eastern European origins, n.i.e."
ETH65,Southern European origins
ETH66,Albanian
ETH67,Bosnian
ETH68,Catalan
ETH69,Croatian
ETH70,Cypriot
ETH71,Greek
ETH72,Italian
ETH73,Kosovar
ETH74,Macedonian
ETH75,Maltese
ETH76,Montenegrin
ETH77,Portuguese
ETH78,Serbian
ETH79,Sicilian
ETH80,Slovenian
ETH81,Spanish
ETH82,"Yugoslavian, n.o.s."
ETH83,"Southern European origins, n.i.e."
ETH84,Other European origins
ETH85,Basque
ETH86,Jewish
ETH87,Roma (Gypsy)
