Industry_Key,Industry
EM1,All industry categories
EM2,"Agriculture, forestry, fishing and hunting"
EM3,"Mining, quarrying, and oil and gas extraction"
EM4,Utilities
EM5,Construction
EM6,Manufacturing
EM7,Wholesale trade
EM8,Retail trade
EM9,Transportation and warehousing
EM10,Information and cultural industries
EM11,Finance and insurance
EM12,Real estate and rental and leasing
EM13,"Professional, scientific and technical services"
EM14,Management of companies and enterprises
EM15,"Administrative and support, waste management and remediation services"
EM16,Educational services
EM17,Health care and social assistance
EM18,"Arts, entertainment and recreation"
EM19,Accommodation and food services
EM20,Other services (except public administration)
EM21,Public administration
EM22,All industry categories
EM23,"Agriculture, forestry, fishing and hunting"
EM24,"Mining, quarrying, and oil and gas extraction"
EM25,Utilities
EM26,Construction
EM27,Manufacturing
EM28,Wholesale trade
EM29,Retail trade
EM30,Transportation and warehousing
EM31,Information and cultural industries
EM32,Finance and insurance
EM33,Real estate and rental and leasing
EM34,"Professional, scientific and technical services"
EM35,Management of companies and enterprises
EM36,"Administrative and support, waste management and remediation services"
EM37,Educational services
EM38,Health care and social assistance
EM39,"Arts, entertainment and recreation"
EM40,Accommodation and food services
EM41,Other services (except public administration)
EM42,Public administration
EM43,All industry categories
EM44,"Agriculture, forestry, fishing and hunting"
EM45,"Mining, quarrying, and oil and gas extraction"
EM46,Utilities
EM47,Construction
EM48,Manufacturing
EM49,Wholesale trade
EM50,Retail trade
EM51,Transportation and warehousing
EM52,Information and cultural industries
EM53,Finance and insurance
EM54,Real estate and rental and leasing
EM55,"Professional, scientific and technical services"
EM56,Management of companies and enterprises
EM57,"Administrative and support, waste management and remediation services"
EM58,Educational services
EM59,Health care and social assistance
EM60,"Arts, entertainment and recreation"
EM61,Accommodation and food services
EM62,Other services (except public administration)
EM63,Public administration
EM64,All industry categories
EM65,"Agriculture, forestry, fishing and hunting"
EM66,"Mining, quarrying, and oil and gas extraction"
EM67,Utilities
EM68,Construction
EM69,Manufacturing
EM70,Wholesale trade
EM71,Retail trade
EM72,Transportation and warehousing
EM73,Information and cultural industries
EM74,Finance and insurance
EM75,Real estate and rental and leasing
EM76,"Professional, scientific and technical services"
EM77,Management of companies and enterprises
EM78,"Administrative and support, waste management and remediation services"
EM79,Educational services
EM80,Health care and social assistance
EM81,"Arts, entertainment and recreation"
EM82,Accommodation and food services
EM83,Other services (except public administration)
EM84,Public administration
EM85,All industry categories
