Ward_ID,Demolition_Key,Approval_Date_Key,Total Rental Homes for Demolition,Total Rental Homes Replaced,Total Demolitions Yearly,Total Demolitions Per Ward,Replacement_Rate
21,1,6330,22,22,320,1279,100.0
12,2,6367,62,62,320,719,100.0
21,3,6443,15,15,320,1279,100.0
21,4,6443,26,26,320,1279,100.0
11,5,6484,6,6,320,443,100.0
21,6,6484,12,12,320,1279,100.0
11,7,6484,38,38,320,443,100.0
19,8,6484,83,67,320,192,80.72289156626506
17,9,6574,33,33,320,89,100.0
4,10,6610,11,11,320,45,100.0
24,11,6610,12,12,320,90,100.0
12,12,6695,9,9,332,719,100.0
16,13,6778,156,156,332,156,100.0
11,14,6868,8,8,332,443,100.0
4,15,6868,22,28,332,45,127.27272727272727
12,16,6868,130,130,332,719,100.0
13,17,6868,7,7,332,133,100.0
1,18,7059,7,7,743,138,100.0
17,19,7059,6,6,743,89,100.0
15,20,7086,12,12,743,12,100.0
12,21,7086,10,0,743,719,0.0
21,22,7115,24,24,743,1279,100.0
24,23,7163,10,10,743,90,100.0
1,24,7163,110,110,743,138,100.0
20,26,7198,13,13,743,47,100.0
11,27,7226,28,28,743,443,100.0
21,29,7226,100,100,743,1279,100.0
3,30,7226,81,81,743,247,100.0
3,31,7226,6,6,743,247,100.0
12,32,7226,20,20,743,719,100.0
11,33,7304,64,64,743,443,100.0
11,34,7304,0,0,743,443,
12,35,7331,131,131,743,719,100.0
11,36,7331,121,121,743,443,100.0
11,37,7423,13,13,230,443,100.0
21,38,7432,12,0,230,1279,0.0
20,39,7575,8,8,230,47,100.0
12,40,7604,8,4,230,719,50.0
23,41,7604,120,120,230,165,100.0
1,42,7604,6,0,230,138,0.0
22,43,7604,5,4,230,46,80.0
24,44,7668,7,8,230,90,114.28571428571428
12,45,7695,7,7,230,719,100.0
12,46,7695,7,0,230,719,0.0
4,47,7745,12,12,230,45,100.0
12,48,7745,25,27,230,719,108.0
24,49,7829,7,7,352,90,100.0
13,50,7829,8,8,352,133,100.0
22,51,7919,15,15,352,46,100.0
23,52,7955,9,9,352,165,100.0
21,53,7955,57,70,352,1279,122.80701754385966
17,54,8034,10,10,352,89,100.0
0,55,8034,236,236,352,236,100.0
21,56,8088,0,0,352,1279,
5,57,8109,10,10,352,50,100.0
21,58,8193,7,7,867,1279,100.0
21,59,8193,8,8,867,1279,100.0
12,60,8193,19,19,867,719,100.0
3,61,8193,6,0,867,247,0.0
1,62,8221,15,15,867,138,100.0
13,63,8291,20,0,867,133,0.0
11,64,8291,33,33,867,443,100.0
17,65,8325,9,9,867,89,100.0
24,66,8325,42,50,867,90,119.04761904761905
2,67,8325,279,279,867,345,100.0
12,68,8325,36,40,867,719,111.11111111111111
13,69,8325,12,12,867,133,100.0
11,70,8325,46,46,867,443,100.0
10,71,8325,56,56,867,56,100.0
12,72,8325,47,47,867,719,100.0
3,73,8325,24,24,867,247,100.0
17,74,8325,31,31,867,89,100.0
18,75,8325,29,29,867,29,100.0
20,76,8325,9,9,867,47,100.0
13,77,8325,54,54,867,133,100.0
20,78,8325,17,17,867,47,100.0
12,79,8325,62,62,867,719,100.0
22,80,8325,6,6,867,46,100.0
24,81,8620,12,0,1673,90,0.0
21,82,8620,259,259,1673,1279,100.0
5,83,8528,33,33,1673,50,100.0
23,84,8690,30,30,1673,165,100.0
21,85,8690,19,19,1673,1279,100.0
21,86,8690,65,65,1673,1279,100.0
21,87,8690,82,82,1673,1279,100.0
21,88,8690,527,633,1673,1279,120.11385199240988
12,89,8690,8,8,1673,719,100.0
12,90,8690,14,16,1673,719,114.28571428571428
12,91,8690,15,15,1673,719,100.0
12,92,8690,9,11,1673,719,122.22222222222223
12,93,8690,19,19,1673,719,100.0
3,94,8690,130,142,1673,247,109.23076923076923
5,95,8690,7,7,1673,50,100.0
23,96,8774,6,7,1673,165,116.66666666666667
12,97,8774,81,81,1673,719,100.0
13,98,8774,23,23,1673,133,100.0
11,99,8774,86,86,1673,443,100.0
13,100,8802,9,9,1673,133,100.0
19,101,8802,109,110,1673,192,100.91743119266054
21,102,8837,44,44,1673,1279,100.0
2,103,8837,66,0,1673,345,0.0
22,104,8837,20,20,1673,46,100.0
