Permit_Key,Ward_ID,Est_Const_Cost,Application_Date_Key,Issued_Date_Key,Completed_Date_Key,Application_to_Issuance_Duration,Avg_App_to_Issuance_Duration_by_Year,Avg_Est_Const_Cost_by_Ward,Avg_Est_Const_Cost_by_Year
1,13,1200000,740,767,5959,27,202.94,7795654.71978022,7117555.88
2,22,650000,1783,1864,6283,81,423.81,2904103.2512077293,11229609.36
3,11,700000,2543,2560,6214,17,230.03,1820371.57,14812242.86
4,5,2000000,2735,3909,6198,1174,417.96,1400922.5020242915,14954908.92
5,12,1500000,2844,2889,5944,45,417.96,7658937.101338432,14954908.92
6,15,600000,2920,2969,6051,49,417.96,4522577.48037889,14954908.92
7,4,2000000,3186,3510,6142,324,281.46,4297914.794871795,11503993.02
8,4,2000000,3186,3510,6142,324,281.46,4297914.794871795,11503993.02
9,4,2000000,3186,3510,6225,324,281.46,4297914.794871795,11503993.02
10,4,2000000,3186,3510,6198,324,281.46,4297914.794871795,11503993.02
11,4,2000000,3186,3510,6198,324,281.46,4297914.794871795,11503993.02
12,4,2000000,3186,3510,6197,324,281.46,4297914.794871795,11503993.02
13,4,2000000,3186,3510,6224,324,281.46,4297914.794871795,11503993.02
14,24,190000000,3229,3838,6254,609,281.46,23456062.532786883,11503993.02
15,12,1000000,3295,3391,6148,96,281.46,7658937.101338432,11503993.02
16,4,525000,3420,3771,6032,351,205.39,4297914.794871795,9006193.27
17,21,1500000,3512,3666,6101,154,205.39,17091199.984,9006193.27
18,21,5670000,3715,3764,5959,49,205.39,17091199.984,9006193.27
19,2,82000000,3733,5069,6275,1336,205.39,2989003.2716499544,9006193.27
20,17,3800000,3792,3959,6234,167,312.72,1614143.0049603174,13350024.59
21,18,81000000,3826,4722,6039,896,312.72,8584355.493548388,13350024.59
22,21,30000000,3831,5787,6235,1956,312.72,17091199.984,13350024.59
23,4,650000,3840,4014,6240,174,312.72,4297914.794871795,13350024.59
24,3,1040000,3904,3923,6213,19,312.72,9246769.549865229,13350024.59
25,19,554190,3908,3959,6210,51,312.72,6721340.5708154505,13350024.59
26,16,900000,3952,3984,5959,32,312.72,2465023.1840707962,13350024.59
27,24,25000000,3971,4464,6207,493,312.72,23456062.532786883,13350024.59
28,3,150000000,4002,4464,6078,462,312.72,9246769.549865229,13350024.59
29,11,737000,4085,4132,6014,47,312.72,1820371.57,13350024.59
30,24,65000000,4092,4960,5973,868,312.72,23456062.532786883,13350024.59
31,21,4100000,4203,4226,5959,23,248.15,17091199.984,12693718.64
32,3,1600000,4267,4294,6213,27,248.15,9246769.549865229,12693718.64
33,24,61000000,4268,5191,6261,923,248.15,23456062.532786883,12693718.64
34,11,795000,4274,4292,6077,18,248.15,1820371.57,12693718.64
35,18,47060000,4300,5136,6175,836,248.15,8584355.493548388,12693718.64
36,21,800000,4307,4344,5959,37,248.15,17091199.984,12693718.64
37,17,93100000,4321,5504,6099,1183,248.15,1614143.0049603174,12693718.64
38,2,570000,4336,4358,6144,22,248.15,2989003.2716499544,12693718.64
39,13,800000,4349,4497,6255,148,248.15,7795654.71978022,12693718.64
40,11,800000,4383,4454,6163,71,248.15,1820371.57,12693718.64
41,2,48200000,4397,4859,6043,462,248.15,2989003.2716499544,12693718.64
42,17,800000,4413,4457,6011,44,248.15,1614143.0049603174,12693718.64
43,3,580000,4440,4498,6260,58,248.15,9246769.549865229,12693718.64
44,2,525000,4457,4506,5974,49,248.15,2989003.2716499544,12693718.64
45,15,88650000,4532,5874,6254,1342,258.28,4522577.48037889,7314077.5
46,15,1120000,4532,5472,6259,940,258.28,4522577.48037889,7314077.5
47,11,828688,4580,4659,6246,79,258.28,1820371.57,7314077.5
48,17,650000,4588,4665,6144,77,258.28,1614143.0049603174,7314077.5
49,12,800000,4590,4622,6213,32,258.28,7658937.101338432,7314077.5
50,7,639000,4600,4617,5967,17,258.28,3738553.685483871,7314077.5
51,17,600000,4600,4618,6093,18,258.28,1614143.0049603174,7314077.5
52,21,92000000,4602,5855,6221,1253,258.28,17091199.984,7314077.5
53,7,1200000,4621,4764,6029,143,258.28,3738553.685483871,7314077.5
54,11,600000,4632,4720,5951,88,258.28,1820371.57,7314077.5
55,13,900000,4637,4751,6170,114,258.28,7795654.71978022,7314077.5
56,19,550000,4692,4791,6060,99,258.28,6721340.5708154505,7314077.5
57,2,700000,4706,4743,6267,37,258.28,2989003.2716499544,7314077.5
58,9,26000000,4707,5468,6123,761,258.28,3707403.8834951455,7314077.5
59,2,775000,4708,4812,5974,104,258.28,2989003.2716499544,7314077.5
60,2,725000,4730,4980,5958,250,258.28,2989003.2716499544,7314077.5
61,2,738144,4735,4772,6256,37,258.28,2989003.2716499544,7314077.5
62,3,600000,4740,4797,6123,57,258.28,9246769.549865229,7314077.5
63,11,1000000,4750,4831,5937,81,258.28,1820371.57,7314077.5
64,2,75000000,4756,5344,6168,588,258.28,2989003.2716499544,7314077.5
65,19,600000,4758,4783,6211,25,258.28,6721340.5708154505,7314077.5
66,11,1600000,4771,4796,6245,25,258.28,1820371.57,7314077.5
67,16,900000,4796,4882,6253,86,258.28,2465023.1840707962,7314077.5
68,15,600000,4799,4819,6186,20,258.28,4522577.48037889,7314077.5
69,12,800000,4807,4813,6008,6,258.28,7658937.101338432,7314077.5
70,15,2500000,4824,4974,6085,150,258.28,4522577.48037889,7314077.5
71,17,850000,4827,5366,6228,539,258.28,1614143.0049603174,7314077.5
72,11,37000000,4827,5308,5982,481,258.28,1820371.57,7314077.5
73,11,785360,4838,5016,5982,178,258.28,1820371.57,7314077.5
74,2,700000,4841,5113,6102,272,253.83,2989003.2716499544,6984378.81
75,14,37765500,4856,5472,6056,616,253.83,5826416.914893617,6984378.81
76,19,700000,4862,4939,5958,77,253.83,6721340.5708154505,6984378.81
77,11,705288,4866,4932,6133,66,253.83,1820371.57,6984378.81
78,2,725000,4882,4944,5968,62,253.83,2989003.2716499544,6984378.81
79,17,630000,4884,4988,6190,104,253.83,1614143.0049603174,6984378.81
80,1,709988,4891,5031,5990,140,253.83,3325419.7044334975,6984378.81
81,11,775000,4901,4996,5975,95,253.83,1820371.57,6984378.81
82,17,552000,4903,5091,5965,188,253.83,1614143.0049603174,6984378.81
83,11,750000,4924,5000,5982,76,253.83,1820371.57,6984378.81
84,4,8000000,4937,5387,6186,450,253.83,4297914.794871795,6984378.81
85,13,800000,4938,5042,6256,104,253.83,7795654.71978022,6984378.81
86,5,3000000,4951,5589,6241,638,253.83,1400922.5020242915,6984378.81
87,18,600000,4958,5118,6101,160,253.83,8584355.493548388,6984378.81
88,2,650000,4960,4996,6268,36,253.83,2989003.2716499544,6984378.81
89,16,650000,4964,5014,6042,50,253.83,2465023.1840707962,6984378.81
90,11,850000,4964,5057,6010,93,253.83,1820371.57,6984378.81
91,5,950000,4965,5163,5990,198,253.83,1400922.5020242915,6984378.81
92,12,1500000,4966,5069,5960,103,253.83,7658937.101338432,6984378.81
93,16,550000,4985,5415,6169,430,253.83,2465023.1840707962,6984378.81
94,2,675000,4995,5098,6270,103,253.83,2989003.2716499544,6984378.81
95,2,700000,5000,5101,6081,101,253.83,2989003.2716499544,6984378.81
96,17,510000,5001,5049,6105,48,253.83,1614143.0049603174,6984378.81
97,16,900000,5002,5080,6121,78,253.83,2465023.1840707962,6984378.81
98,16,900000,5002,5091,6184,89,253.83,2465023.1840707962,6984378.81
99,2,640000,5007,5112,6288,105,253.83,2989003.2716499544,6984378.81
100,18,630920,5013,5084,6017,71,253.83,8584355.493548388,6984378.81
101,2,693496,5017,5121,5955,104,253.83,2989003.2716499544,6984378.81
102,3,1000000,5030,5051,5958,21,253.83,9246769.549865229,6984378.81
103,17,700000,5036,5064,5962,28,253.83,1614143.0049603174,6984378.81
104,2,1000000,5038,5115,6128,77,253.83,2989003.2716499544,6984378.81
105,17,700000,5041,5147,5989,106,253.83,1614143.0049603174,6984378.81
106,11,1000000,5042,5079,6268,37,253.83,1820371.57,6984378.81
107,17,751680,5043,5094,5997,51,253.83,1614143.0049603174,6984378.81
108,15,600000,5063,5324,6283,261,253.83,4522577.48037889,6984378.81
109,11,600000,5077,5097,5982,20,253.83,1820371.57,6984378.81
110,2,544000,5086,5099,6274,13,253.83,2989003.2716499544,6984378.81
111,2,700000,5091,5220,5973,129,253.83,2989003.2716499544,6984378.81
112,12,550000,5091,5177,5960,86,253.83,7658937.101338432,6984378.81
113,2,1300000,5092,5189,5961,97,253.83,2989003.2716499544,6984378.81
114,17,624784,5094,5121,6032,27,253.83,1614143.0049603174,6984378.81
115,11,700000,5111,5127,6001,16,253.83,1820371.57,6984378.81
116,16,600000,5141,5576,6088,435,253.83,2465023.1840707962,6984378.81
117,2,860000,5148,5170,6036,22,253.83,2989003.2716499544,6984378.81
118,12,600000,5150,5167,6127,17,253.83,7658937.101338432,6984378.81
119,12,600000,5150,5246,6011,96,253.83,7658937.101338432,6984378.81
120,18,700000,5154,5182,5944,28,253.83,8584355.493548388,6984378.81
121,3,850000,5156,5206,5975,50,253.83,9246769.549865229,6984378.81
122,17,550000,5167,5303,5951,136,253.83,1614143.0049603174,6984378.81
123,17,550000,5167,5303,5951,136,253.83,1614143.0049603174,6984378.81
124,17,550000,5167,5303,5967,136,253.83,1614143.0049603174,6984378.81
125,1,1200000,5168,5190,6170,22,253.83,3325419.7044334975,6984378.81
126,17,687336,5170,5377,5996,207,253.83,1614143.0049603174,6984378.81
127,12,1000000,5182,5223,6003,41,253.83,7658937.101338432,6984378.81
